county_state,total_cases,total_fatalities,death_rate,total_tests,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,state,county,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84
"Gilchrist County, Florida",602.0,18.0,0.029900332225913626,5016,349.695,0.128,16285,13340,2945,6511,490,343,841,945,1104,1076,954,496,147,115,42357,56315,21379,37574,32596,17615,998,15232,1079,4,38,0,0,264,17615,9249,8366,851,773,1111,1507,1483,1782,1829,2270,1382,1110,2028,1060,429,42.5,2.9900332225913626,3.4175418677263694,28.47573091115527,50.37246743590843,Florida,Gilchrist,3,1674,2049,5753,643,3723,2030,268,9336,6790,1489,14098,3517,7507,5481,4198,0.8191587350322382,0.18084126496776173,0.0752572569497773,0.05268007986484411,0.12916602672400554,0.14513899554599907,0.16955920749500844,0.16525879281216402,0.1465212716940562,0.07617877438181539,0.02257717708493319,0.017662417447396713,0.056656258870281015,0.8647175702526256,0.06125461254612545,0.00022707919386886176,0.0021572523417541867,0.0,0.0,0.014987226795344874,0.5250638660232756,0.4749361339767244,0.048311098495600335,0.043883054215157535,0.06307124609707636,0.08555208629009367,0.0841896111268805,0.10116378086857793,0.10383196139653704,0.12886744252057905,0.07845586148169174,0.06301447629860914,0.11512915129151292,0.060175986375248375,0.024354243542435424,0.2571033635386269,0.31469820304100754,0.8835816310858547,0.09875595146674858,0.5718015665796344,0.31178006450622026,0.015214305989213738,0.5300028384899234,0.3854669315923929,0.08453022991768379,0.8003406187908033,0.1996593812091967,0.4261708770933863,0.31115526539880783,0.23831961396537046
"Putnam County, Florida",2355.0,50.0,0.021231422505307854,19344,727.867,0.146,71607,60138,11469,28264,3053,2631,4426,3799,4540,4651,2283,1860,684,337,35649,48542,19976,37277,29496,72766,7187,52092,11591,172,406,8,80,1230,72766,35841,36925,4177,4237,4616,3938,3958,8120,7306,9059,5696,5389,9454,5469,1347,45.0,2.123142250530785,3.236401616139406,26.583844103015146,99.97156073843162,Florida,Putnam,3,10110,8339,25383,2544,18449,6934,1490,36352,29598,6816,56496,16270,29046,22061,20312,0.8398340944321085,0.1601659055678914,0.10801726577979057,0.09308661194452307,0.15659496178884802,0.1344112652136994,0.16062836116614776,0.16455561845457115,0.08077412963487121,0.06580809510331162,0.024200396263798468,0.01192329465043872,0.09876865569084464,0.7158837918808235,0.1592914273149548,0.002363741307753621,0.005579528900860292,0.00010994145617458703,0.0010994145617458703,0.016903498886842755,0.4925514663441717,0.5074485336558283,0.05740318280515625,0.058227743726465664,0.06343622021273672,0.05411868180194047,0.05439353544237693,0.11159057801720584,0.1004040348514416,0.12449495643569801,0.07827831679630598,0.07405931341560619,0.12992331583431824,0.07515872797735207,0.01851139268339609,0.3576988395131616,0.29503962637984715,0.8980682139824512,0.0900084913671101,0.6527384658930088,0.2453297480894424,0.020476596212516837,0.4995739768573234,0.4067559024819284,0.09367012066074816,0.7764065635049336,0.2235934364950664,0.39916994200588185,0.3031773080834456,0.27914135722727645
"Taylor County, Florida",1450.0,16.0,0.011034482758620687,7170,1043.318,0.11800000000000001,18239,16245,1994,7356,562,483,1237,1273,1119,1347,617,589,45,84,36934,49042,16919,39496,30796,22098,937,15917,4826,75,80,34,84,145,22098,12414,9684,1028,1189,1394,1002,1397,3177,2812,2865,1368,1644,2536,1416,270,41.7,1.1034482758620687,6.561679790026248,32.44637523757806,21.18050297224816,Florida,Taylor,3,2282,2392,6638,634,4674,1964,338,11999,8413,1686,17876,4222,9187,7045,5596,0.8906738308021274,0.10932616919787268,0.07640021750951605,0.06566068515497553,0.16816204458945078,0.17305600870038065,0.15212071778140293,0.183115823817292,0.08387710712343666,0.08007069059271342,0.006117455138662317,0.011419249592169658,0.0424020273327903,0.7202914290886053,0.2183908045977012,0.0033939723051859896,0.003620237125531722,0.001538600778350982,0.0038012489818083093,0.006561679790026247,0.561770295954385,0.43822970404561495,0.04652004706308263,0.053805774278215215,0.06308263191239026,0.04534346999728482,0.06321839080459771,0.14376866684767853,0.12725133496244004,0.1296497420581048,0.06190605484659245,0.07439587292967689,0.1147615168793556,0.06407819712191147,0.012218300298669564,0.31022294725394234,0.3251767264817836,0.9023926046764544,0.08618814573137575,0.6353996737357259,0.2669929309407287,0.015295501855371528,0.5429903158656892,0.3807131867137297,0.07629649742058105,0.8089419857000634,0.19105801429993666,0.4157389809032492,0.3188071318671373,0.253235586930944
"Okaloosa County, Florida",6146.0,130.0,0.021151968760169216,44602,930.2330000000001,0.105,188311,165270,23041,77403,3679,2693,6925,7530,10070,15239,10981,12735,4071,3480,62048,79157,31901,47516,36408,200737,18118,148420,18978,937,5887,292,455,7650,200737,101745,98992,13322,12467,11875,11067,14503,32144,23664,24689,14132,11871,17994,9712,3297,36.8,2.1151968760169217,3.06171757075178,22.219122533464184,215.79217249871812,Florida,Okaloosa,3,13297,17600,57117,16806,30897,26220,9334,119042,68686,13009,169734,31003,95378,62485,39577,0.8776438975949359,0.12235610240506395,0.04753045747580843,0.03479193312920688,0.08946681653165899,0.09728305104453316,0.13009831660271565,0.19687867395320596,0.1418678862576386,0.16452850664702914,0.05259486066431534,0.04495949769388784,0.09025740147556256,0.7393754016449384,0.09454161415185043,0.00466779916009505,0.029326930261984588,0.0014546396528791405,0.002266647404315099,0.038109566248374735,0.506857231103384,0.493142768896616,0.06636544334128736,0.0621061388782337,0.05915700643130066,0.05513183917264879,0.07224876330721293,0.16012992124022976,0.11788559159497253,0.12299177530799005,0.07040057388523292,0.059137079860713274,0.0896396777873536,0.04838171338617196,0.016424475806652485,0.17178920713667428,0.2273813676472488,0.7379171349947676,0.21712336731134446,0.3991705747839231,0.3387465602108445,0.04649865246566403,0.5930247039658857,0.3421691068412899,0.06480618919282444,0.8455541330198221,0.15444586698017804,0.4751391123709132,0.3112779407881955,0.19715847103423886
"Calhoun County, Florida",702.0,14.0,0.019943019943019943,5254,567.335,0.146,12409,10134,2275,4556,372,374,700,604,753,692,545,398,75,43,38609,53151,18921,34667,33217,14444,837,11119,1775,157,117,0,31,408,14444,8048,6396,656,948,773,904,869,2064,1824,1948,965,833,1531,809,320,40.2,1.9943019943019944,4.860149543062863,36.374965383550254,25.459384666907557,Florida,Calhoun,3,1446,1357,4040,473,2803,1237,596,8038,5277,1129,11784,2660,6214,4737,3173,0.8166653235554839,0.18333467644451606,0.08165057067603161,0.08208955223880597,0.15364354697102722,0.13257243195785778,0.16527655838454786,0.15188762071992976,0.11962247585601404,0.08735733099209833,0.01646180860403863,0.009438103599648816,0.05794793685959568,0.7698006092495153,0.1228883965660482,0.010869565217391304,0.008100249238438106,0.0,0.002146219883688729,0.028247022985322626,0.5571863749653836,0.4428136250346165,0.04541678205483245,0.06563278870119081,0.05351703129327056,0.06258654112434227,0.06016338964275824,0.14289670451398506,0.12628080864026586,0.13486568817502076,0.06680974799224591,0.05767100526170036,0.10599556909443368,0.05600941567432844,0.022154527831625588,0.3173836698858648,0.29784899034240564,0.8867427568042142,0.10381913959613696,0.6152326602282704,0.2715100965759438,0.04126280808640266,0.5564940459706452,0.3653420105234007,0.07816394350595403,0.8158404873996123,0.1841595126003877,0.4302132373303794,0.3279562448075325,0.21967599003046248
"Palm Beach County, Florida",50525.0,1561.0,0.030895596239485405,415627,1965.622,0.086,1433604,1238294,195310,548216,32617,21769,53030,53168,71182,95186,63252,75660,34529,47823,59943,94302,37998,47778,40886,1446277,316016,799770,262376,1137,38372,465,5586,22555,1446277,701207,745070,74181,77315,78524,81182,80323,171605,166862,191753,97722,89902,164266,114719,57923,44.6,3.0895596239485403,3.4934524990717546,28.73771760181486,735.785924251967,Florida,Palm Beach,3,107416,124350,390204,110189,231766,158438,29743,729992,543643,172642,1109369,336908,563130,456337,368887,0.8637629359293082,0.13623706407069178,0.0594966217695215,0.03970880091058999,0.09673194507274503,0.0969836706699549,0.12984298159849406,0.1736286427247654,0.11537788025157968,0.1380112948181009,0.0629842981598494,0.08723386402439914,0.21850309449711225,0.5529853548110079,0.1814147635618903,0.0007861564555061029,0.02653157036999136,0.0003215151730961634,0.003862330660032622,0.015595214471363368,0.4848358924327774,0.5151641075672226,0.051291004420315055,0.05345794754393522,0.05429388699398525,0.0561317092092317,0.05553777042710352,0.11865292748207985,0.115373472716499,0.13258386878862072,0.06756796934473824,0.062160982992884486,0.11357851919099868,0.07932021320950275,0.040049727680105535,0.19593736775285653,0.2268266522684489,0.7117705429976505,0.2009955929779503,0.4227640200213055,0.2890065229763451,0.020565216759998256,0.5047387187931496,0.3758913403172421,0.11936994088960827,0.7670515399193929,0.23294846008060696,0.3893652460766506,0.315525310849858,0.2550597153933859
"St. Lucie County, Florida",8893.0,329.0,0.03699538963229506,70264,571.684,0.096,303304,260712,42592,112872,7427,5888,12853,13225,17737,22450,14516,11497,3674,3605,49373,65145,25736,40291,33814,305591,56661,177179,59731,675,5681,244,425,4995,305591,149385,156206,15920,16568,18301,17731,16515,34163,34185,39127,22179,19793,38763,23116,9230,44.8,3.699538963229507,2.910098792176471,22.99282374153689,534.5453082472135,Florida,St. Lucie,2,26168,30962,94096,15171,57130,36966,6339,153383,119862,32346,234482,71109,119198,95491,81672,0.8595732334555429,0.14042676654445704,0.06580019845488695,0.05216528457013254,0.11387235098164293,0.11716811963994615,0.15714260401162378,0.19889786660996528,0.12860585441916508,0.10185874264653767,0.03255014529732795,0.031938833368771714,0.1854144919189374,0.5797912896649443,0.1954605992977542,0.002208834684267534,0.018590207172331646,0.0007984528340167086,0.0013907477641684474,0.016345376663579752,0.4888396582360083,0.5111603417639917,0.052095775071909836,0.05421625636880667,0.059887234898933536,0.05802199672110761,0.05404282194174567,0.1117932138053804,0.11186520545434912,0.12803714769086785,0.07257739920351057,0.06476957763808489,0.12684601313520358,0.07564358898004195,0.030203769090058282,0.2318378340066624,0.27431072365156994,0.8336522786873627,0.13440888794386566,0.5061485576582323,0.32750372102913033,0.020743411946032443,0.5019225042622328,0.3922301376676669,0.10584735807010023,0.7673066287946961,0.2326933712053038,0.39005729880788376,0.31247975234872755,0.2672591797533304
"Pasco County, Florida",10600.0,236.0,0.022264150943396226,105566,746.669,0.10099999999999999,504686,444881,59805,199227,11882,10887,22874,22436,30877,36934,24214,23695,8523,6905,50417,68215,27786,47266,40007,510593,74279,385808,26225,1429,12547,327,1013,8965,510593,248572,262021,26529,28372,30628,29072,25880,55862,61830,69626,35034,32996,63556,37490,13718,44.6,2.2264150943396226,2.0760174933851423,20.67517572704679,683.8277737524927,Florida,Pasco,2,45643,53313,160104,32218,98956,61148,11734,258173,201212,51208,395829,114764,196343,166490,134042,0.881500576596141,0.11849942340385905,0.059640510573366064,0.05464620759234441,0.11481375516370773,0.11261525797206202,0.15498401321106076,0.18538651889553126,0.12153975113814895,0.1189346825480482,0.042780346037434684,0.03465895686829596,0.14547594659542926,0.7556076953659764,0.051361847890589965,0.00279870660193148,0.0245733881976447,0.0006404318116386243,0.0019839676611312727,0.017558015875658303,0.4868300192129543,0.5131699807870457,0.05195723403963626,0.05556676256822949,0.05998515451641522,0.056937717516691376,0.050686162951705166,0.109406121901397,0.1210944920905692,0.13636301320229616,0.06861433666344817,0.06462289925635488,0.12447487529206235,0.07342443002548017,0.026866799975714516,0.2291004733294182,0.2675992711831228,0.8036260145462212,0.1617150285854829,0.496699744512541,0.30692627003368017,0.02298112195035968,0.5056336455846437,0.3940751244141616,0.10029123000119468,0.7752338947067429,0.22476610529325705,0.3845391534940745,0.3260718419563136,0.2625222045738974
"Gadsden County, Florida",3051.0,55.0,0.01802687643395608,18259,516.294,0.18,43046,36612,6434,17080,1980,840,2098,2277,2982,3152,1605,1522,411,213,40922,52613,20158,37202,33793,46017,4659,14961,25464,68,280,15,103,467,46017,21785,24232,2699,2907,2914,2433,2936,5589,5976,6266,3036,3647,4489,2237,888,40.7,1.802687643395608,6.630158419714452,39.67881435121803,89.12944949970365,Florida,Gadsden,3,4918,5259,14934,1933,10177,4757,653,25454,17438,3125,38403,7614,19478,15278,10373,0.8505319890349858,0.14946801096501414,0.11592505854800934,0.049180327868852465,0.1228337236533958,0.13331381733021078,0.17459016393442622,0.1845433255269321,0.0939695550351288,0.08911007025761124,0.024063231850117096,0.01247072599531616,0.101245191994263,0.3251189777690853,0.5533607145185475,0.0014777147575895865,0.006084707825368885,0.00032596649064476165,0.002238303235760697,0.010148423408740248,0.4734119999130756,0.5265880000869244,0.0586522372166808,0.06317230588695483,0.06332442358258904,0.05287176478258035,0.06380250776886802,0.12145511441423823,0.12986504987287306,0.13616706869200512,0.06597561770649978,0.07925331942542974,0.09755090510028902,0.04861246930482213,0.01929721624616989,0.28793911007025763,0.30790398126463703,0.8743559718969555,0.11317330210772834,0.5958430913348947,0.2785128805620609,0.014190407892735294,0.5531434035247843,0.3789469109242237,0.06790968555099203,0.8345394093487192,0.16546059065128105,0.4232783536519112,0.332007736271378,0.2254166938305409
"Leon County, Florida",11991.0,112.0,0.009340338587273787,100027,666.832,0.084,284753,261303,23450,112918,10681,5308,11089,11879,16308,18001,13699,14204,5942,5807,51201,73745,29754,47595,39635,288102,18050,163785,88415,494,10061,68,601,6628,288102,136894,151208,14957,14656,15211,25901,47346,41665,30835,30364,15926,15541,22377,9317,4006,30.7,0.9340338587273788,4.162067601057959,34.719300803187764,432.0458526285481,Florida,Leon,3,27078,28187,86965,20146,55265,31700,7791,190571,84208,13323,252402,35700,159736,77125,47235,0.917647926448536,0.0823520735514639,0.09459076497989692,0.04700756301032608,0.09820400644715636,0.1052002337979773,0.14442338688251652,0.15941656777484547,0.12131812465683063,0.12579039657096303,0.0526222568589596,0.05142669902052817,0.06265142206579613,0.5684965741299957,0.3068878383350341,0.0017146704986428418,0.03492165968997092,0.00023602751803180821,0.0020860667402517164,0.023005741022276836,0.4751581037271522,0.5248418962728478,0.051915640988261104,0.05087087212167913,0.05279727318796815,0.08990218741973327,0.16433763042255867,0.14461891968816598,0.10702806644868833,0.1053932287870268,0.05527903312021437,0.05394270084900487,0.07767040839702605,0.032339240963269955,0.013904797606403287,0.2398023344373793,0.24962362068049385,0.7701606475495493,0.1784126534299226,0.4894259551178731,0.2807346924316761,0.0270425057792032,0.6614705902770547,0.2922853711532721,0.04624403856967324,0.8760855530333007,0.12391444696669927,0.5544425238283663,0.2677003283559295,0.16395235020930088
