county_state,total_cases,total_fatalities,death_rate,total_tests,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,state,county,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84
"Albany County, New York",3577.0,128.0,0.03578417668437238,176101,522.8290000000002,0.08800000000000001,303585,291580,12005,126008,6903,5675,11192,10605,15284,21239,16316,20612,9349,8833,64535,86827,36454,56216,49598,307426,17925,223319,35930,322,19867,131,562,9370,307426,148910,158516,15583,15061,16260,23483,32530,40071,34776,39656,20862,19728,27836,14186,7394,37.9,3.5784176684372384,1.1635320369780044,57.282402919727026,588.0048734863594,New York,Albany,1,23770,25889,87214,29961,49659,37555,10385,177764,108082,21580,258010,49416,142988,95294,61750,0.9604558855015892,0.039544114498410665,0.054782236048504865,0.045036823058853405,0.08881975747571583,0.08416132309059743,0.12129388610246968,0.16855279029902864,0.12948384229572724,0.16357691575138086,0.07419370198717541,0.07009872389054664,0.05830671446136632,0.7264154625828655,0.1168736541476648,0.0010474065303520198,0.06462368179659496,0.0004261188058264428,0.0018280822051485559,0.030478879470181443,0.4843767280581343,0.5156232719418656,0.05068862100147678,0.04899065140879432,0.052890776967465344,0.07638586196352944,0.1058140820880472,0.1303435623532167,0.11311990527801813,0.12899364399888102,0.06786023303168892,0.06417154046827529,0.09054536701515163,0.046144438011098604,0.024051316414356625,0.1886388165830741,0.20545520919306712,0.692130658370897,0.2377706177385563,0.3940940257761412,0.2980366325947559,0.033780487011508466,0.578233461060548,0.3515707845139969,0.07019575442545523,0.8392588785593932,0.16074112144060684,0.4651135557825298,0.3099737823085881,0.2008613454945255
"Allegany County, New York",271.0,9.0,0.033210332103321034,24790,1029.36,0.09300000000000001,46552,43329,3223,18009,1202,1109,2328,1872,3171,3500,2264,1921,379,263,47033,58195,23030,45552,34006,47025,744,44391,639,133,523,12,66,517,47025,23755,23270,2425,2666,2745,4692,4342,4761,4648,5663,3522,3117,4863,2471,1110,38.8,3.321033210332104,0.5762892078681552,52.71664008506114,45.68372581021218,New York,Allegany,1,4639,5043,15446,2300,9682,5764,728,26279,17165,3581,38581,8444,21631,13833,10451,0.930765595463138,0.069234404536862,0.06674440557499027,0.061580320950635786,0.1292686989838414,0.10394802598700648,0.17607862735299018,0.19434727080903996,0.12571492031761894,0.10666888777833304,0.02104503303903604,0.014603809206507857,0.015821371610845295,0.9439872408293459,0.013588516746411485,0.0028282828282828287,0.0111217437533227,0.00025518341307814995,0.0014035087719298245,0.010994152046783627,0.5051568314726209,0.494843168527379,0.051568314726209465,0.056693248272195636,0.058373205741626785,0.09977671451355663,0.09233386496544392,0.10124401913875597,0.09884104199893673,0.1204253056884636,0.07489633173843699,0.06628389154704943,0.10341307814992023,0.0525465178096757,0.023604465709728868,0.2575934255094675,0.28002665333999666,0.8576822699761231,0.1277139208173691,0.5376200788494642,0.3200621911266589,0.015481127060074429,0.5588304093567251,0.3650186071238703,0.07615098351940458,0.8204359383306752,0.1795640616693248,0.4599893673577884,0.2941626794258373,0.2222434875066454
"Bronx County, New York",55011.0,3397.0,0.061751286106415074,969996,42.05,0.124,1416810,1279890,136920,499728,67371,49272,65984,52700,64403,77306,47045,45809,16847,12991,38085,56328,20850,39649,38504,1437872,803636,133874,421275,3476,50906,493,8803,15409,1437872,676963,760909,106083,99150,97391,98070,113041,227012,181911,185464,83036,72244,97497,54473,22500,33.9,6.175128610641508,3.825862107336397,67.46052499805268,34194.340071343635,New York,Bronx,3,182627,117103,424081,62656,299730,124351,28181,922658,438241,76973,1263402,174470,740747,450411,224214,0.903360365892392,0.09663963410760794,0.13481533954471234,0.09859763711459034,0.13203982966733904,0.1054573688086319,0.12887610860308008,0.15469615470816125,0.09414121281977396,0.091667867319822,0.033712339512694915,0.025996141901194248,0.5589064951539497,0.09310564500873512,0.292985050129636,0.0024174613595646897,0.03540370770138093,0.00034286779351708636,0.006122241757263512,0.010716531095952908,0.470808945441597,0.529191054558403,0.07377777715958027,0.06895606841220915,0.06773273281627294,0.06820495843858146,0.07861687271189646,0.1578805345677501,0.12651404297461805,0.1289850556934136,0.057749229416804826,0.05024369345811032,0.0678064528692401,0.03788445703094573,0.015648124450576964,0.3654528063266417,0.234333477411712,0.8486236512662889,0.12538020683251688,0.5997862837383536,0.2488373675279352,0.019599102006298198,0.6416829870809084,0.30478443143756884,0.053532581481522686,0.8786609656492372,0.1213390343507628,0.5151689441062904,0.3132483280848365,0.15593460335829615
"Broome County, New York",3368.0,95.0,0.02820665083135392,160671,705.816,0.08900000000000001,191590,183595,7995,78594,5984,5000,8826,8272,10687,14288,9773,10217,3222,2325,50859,67135,27744,47877,40077,194402,7974,162872,10047,339,8209,56,89,4816,194402,95608,98794,10199,10544,10312,15288,19109,21714,19835,24367,14305,13108,18651,11074,5896,39.8,2.820665083135392,1.7324924640692998,82.64884106130596,275.42872363335493,New York,Broome,1,19810,18959,62830,13439,38769,24061,5300,107001,70431,16970,158781,35621,87166,58507,42833,0.95827026462759,0.041729735372409836,0.07613812759243709,0.06361808789475024,0.11229864875181313,0.1052497646130748,0.13597730106623915,0.18179504796803828,0.1243479145990788,0.12999720080413266,0.040995495839377054,0.029582410871058864,0.04101809652164072,0.8378103105935124,0.05168156706206727,0.0017438092200697526,0.04222693182168908,0.00028806288001152254,0.0004578142200183126,0.024773407680990938,0.4918056398596722,0.5081943601403278,0.05246345202209854,0.054238125122169516,0.053044721762121785,0.07864116624314564,0.09829631382393184,0.11169638172446786,0.10203084330408124,0.12534336066501373,0.07358463390294337,0.0674272898426971,0.09594037098383762,0.056964434522278576,0.030328906081213164,0.2520548642390004,0.24122706567931396,0.7994248924854315,0.1709926966435097,0.4932819299183144,0.3061429625671171,0.027263094001090525,0.5504110040020165,0.3622956553944918,0.08729334060349174,0.8167662884126706,0.18323371158732932,0.4483801606979352,0.3009588378720384,0.2203320953488133
"Cattaraugus County, New York",461.0,17.0,0.0368763557483731,44917,1308.3519999999999,0.11800000000000001,76884,71522,5362,31433,1941,2233,4043,3674,4586,5967,3952,3605,840,592,47240,59656,24628,44818,36540,77686,1605,70425,1224,2289,648,0,61,1434,77686,38491,39195,4440,4742,5182,5320,4972,8412,8380,10441,6045,5646,8039,4311,1756,42.0,3.6876355748373104,0.5934145148417991,57.8186545838375,59.37698723279362,New York,Cattaraugus,1,8217,8260,26396,4445,16477,9919,3784,41448,30171,6067,63580,14106,33068,24866,17996,0.930258571354248,0.06974142864575204,0.061750389717812486,0.07103998981961633,0.1286227849712086,0.11688353004803867,0.14589762351668628,0.18983234180638184,0.1257277383641396,0.11468838481850285,0.026723507142175418,0.018833709795437914,0.020660093195685198,0.9065339958293644,0.015755734623999176,0.029464768426743563,0.008341271271528975,0.0,0.0007852122647581289,0.018458924387920603,0.4954689390623793,0.5045310609376207,0.05715315500862446,0.06104059933578765,0.06670442550781351,0.06848080735267616,0.06400123574389208,0.1082820585433669,0.1078701439126741,0.13440002059573153,0.07781324820430965,0.07267718765285895,0.10348067862935406,0.055492624153644164,0.022603815359266796,0.26141316450863744,0.262781153564725,0.8397543982438839,0.14141189196067827,0.5241943180733624,0.31556008017052145,0.048708905079422285,0.5335324254048348,0.3883711350822542,0.07809643951291095,0.8184228818577349,0.181577118142265,0.4256622814921607,0.3200834127127153,0.2316504904358572
"Cayuga County, New York",364.0,3.0,0.008241758241758242,50028,691.5830000000003,0.09699999999999999,74300,70255,4045,31251,1597,1532,2923,3295,4638,6118,4176,4811,1304,857,56579,71215,29022,52101,40724,77868,2232,70280,3241,138,394,0,104,1479,77868,39982,37886,3935,4346,4356,4858,4847,9646,9011,11067,6325,5618,7951,3875,2033,42.7,0.8241758241758242,0.4674577490111471,64.24718754815842,112.59386075134869,New York,Cayuga,1,6052,7933,24279,6115,13985,10294,1721,40999,30961,5908,64009,13859,31988,26403,17444,0.9455585464333782,0.054441453566621806,0.051102364724328816,0.04902243128219897,0.0935330069437778,0.1054366260279671,0.1484112508399731,0.1957697353684682,0.13362772391283478,0.1539470736936418,0.041726664746728113,0.02742312246008128,0.028663892741562644,0.9025530384753686,0.041621718806184815,0.0017722299275697336,0.005059844865670109,0.0,0.0013355935686032772,0.01899368161504084,0.5134586736528484,0.4865413263471516,0.050534237427441314,0.05581240047259465,0.055940822931114194,0.0623876303487954,0.06224636564442389,0.12387630348795398,0.1157214773719628,0.14212513484358144,0.08122720501361277,0.07214773719628087,0.10210869676889096,0.04976370267632404,0.02610828581702368,0.1936578029503056,0.25384787686794025,0.7769031390995488,0.19567373844036992,0.4475056798182458,0.329397459281303,0.022101505111213848,0.5265192376842862,0.3976087738223661,0.07587198849334771,0.8220193147377614,0.17798068526223865,0.4107977603123234,0.339073817229157,0.22402013664149587
"Chautauqua County, New York",884.0,4.0,0.004524886877828055,73881,1060.224,0.105,127138,120117,7021,52572,3879,3953,7047,5861,7910,9375,6463,5853,1326,905,45332,59330,24825,45644,35777,129656,9585,113526,2975,401,688,55,85,2341,129656,63960,65696,7042,6705,8040,9407,8604,15083,13614,17040,10365,9088,13606,7615,3447,42.5,0.4524886877828055,0.6818041586968594,56.98232245326093,122.29113847639744,New York,Chautauqua,1,14879,13771,44488,7179,28650,15838,2882,68495,50099,11062,104988,24668,54881,41019,30309,0.9447765420252009,0.05522345797479904,0.07378452408125999,0.07519211747698394,0.13404473864414518,0.11148520124781253,0.1504603210834665,0.17832686601232595,0.12293616373735068,0.11133302898881534,0.025222551928783383,0.01721448679905653,0.07392638983155428,0.8755938791880051,0.02294533226383661,0.003092799407663355,0.005306349108409946,0.00042419942000370217,0.0006555809218239032,0.01805546985870303,0.4933053618806689,0.5066946381193311,0.05431295119392855,0.051713765656814965,0.062010242487813914,0.07255352625408774,0.06636021472203367,0.1163309063984698,0.10500092552600727,0.13142469303387425,0.0799423088788795,0.07009316961806626,0.10493922379218856,0.05873233787869439,0.026585734559141108,0.2830213802023891,0.261945522331279,0.8462299322833448,0.13655558091759873,0.5449669025336681,0.3012630297496766,0.02222804960819399,0.5282825322391559,0.3863993953230086,0.0853180724378355,0.8097427037699759,0.19025729623002408,0.42328160671314863,0.316367927438761,0.23376473128894926
"Chemung County, New York",1640.0,12.0,0.007317073170731708,64000,407.352,0.106,82378,78599,3779,34373,2582,1823,3526,3743,4497,6640,4412,4828,1229,1093,53299,68938,28115,49631,39540,85740,2595,74077,4940,282,1240,6,81,2519,85740,42556,43184,5075,4884,5453,5192,5215,10514,10159,11571,6379,5979,8468,4395,2456,41.3,0.7317073170731708,1.9127595054816888,74.64427338465127,210.48135273669948,New York,Chemung,1,7931,8240,27223,6057,16171,11052,2888,46492,32397,6851,70421,15319,36333,28109,18842,0.9541261016290756,0.045873898370924274,0.07511709772204929,0.053035812992755935,0.10258051377534692,0.10889360835539523,0.1308294300759317,0.19317487562912752,0.12835655892706485,0.1404590812556367,0.03575480755243941,0.03179821371425247,0.03026592022393282,0.8639724749241894,0.0576160485187777,0.003289013296011197,0.014462327968276184,6.997900629811057e-05,0.0009447165850244928,0.029379519477490082,0.4963377653370655,0.5036622346629345,0.05919057616048519,0.056962911126662,0.06359925355726616,0.060555166783298336,0.06082341964077444,0.12262654536972242,0.11848612083041755,0.13495451364590622,0.07439934686260788,0.06973407977606717,0.09876370422206672,0.05125962211336599,0.028644739911359924,0.23073342449015216,0.2397230384313269,0.7919878974776714,0.17621388880807612,0.4704564629214791,0.3215314345561924,0.03368322836482389,0.5422439934686261,0.37785164450664793,0.07990436202472592,0.8213319337532073,0.17866806624679266,0.4237578726382085,0.3278399813389317,0.21975740611149988
"Chenango County, New York",381.0,6.0,0.015748031496062992,35456,893.5930000000003,0.11,47740,45479,2261,20616,1161,1353,2546,2234,2885,4247,2693,2350,697,450,50595,63006,26717,44694,35615,48348,1038,45846,429,141,206,0,5,683,48348,24227,24121,2596,2639,2982,2930,2743,5235,5252,6869,4062,3500,5564,2930,1046,44.7,1.574803149606299,0.7880367336808142,73.33498800364028,54.105168684177244,New York,Chenango,1,5060,5119,17119,3047,10179,6940,829,24377,19995,3976,38808,9540,19125,16183,11994,0.9526392961876832,0.04736070381231672,0.056315483119906876,0.06562863795110592,0.12349631354287932,0.10836243694218084,0.13993985254171518,0.2060050446255336,0.1306266977105161,0.11398913465269693,0.03380869227784245,0.021827706635622817,0.021469347232563912,0.9482501861504096,0.008873169520972946,0.002916356415984116,0.004260776040373956,0.0,0.00010341689418383387,0.014126747745511706,0.5010962190783487,0.4989037809216514,0.05369405146024655,0.05458343675022752,0.061677835691238525,0.06060229999172665,0.05673450814925126,0.10827748821047406,0.1086291056506991,0.14207412922975096,0.08401588483494664,0.0723918259286837,0.11508231984777033,0.06060229999172665,0.021634814263258046,0.2454404346138921,0.248302289483896,0.8303744664338378,0.1477978269305394,0.4937427240977881,0.33663174233604964,0.017146521055679657,0.5041987259038636,0.4135641598411517,0.0822371142549847,0.802680565897245,0.197319434102755,0.39556962025316456,0.3347191197153967,0.2480764457681807
"Clinton County, New York",240.0,5.0,0.020833333333333332,46403,1037.754,0.1,76283,72910,3373,31395,2100,1576,3069,3135,4215,6306,4239,4395,1603,757,55178,68108,26772,46439,42674,80794,2310,72705,3297,206,1183,26,203,864,80794,41499,39295,3945,3859,4189,6023,7824,10146,9380,11080,5953,5542,7397,3967,1489,39.3,2.083333333333333,0.2970517612694012,57.43372032576677,77.85467461460037,New York,Clinton,1,6745,7350,24640,5998,14095,10545,1299,45366,29972,5456,67941,12853,35986,26413,16906,0.9557830709332354,0.04421692906676455,0.06688963210702341,0.05019907628603281,0.09775441949354992,0.09985666507405637,0.13425704730052554,0.20086000955566166,0.13502150023889153,0.13999044433827046,0.05105908584169454,0.02411211976429368,0.028591232022179863,0.8998811792954923,0.04080748570438399,0.002549694284229027,0.014642176399237566,0.000321806074708518,0.002512562814070352,0.010693863405698443,0.5136396267049533,0.4863603732950466,0.04882788325865782,0.0477634477807758,0.05184790949823007,0.07454761492190014,0.0968388741738248,0.12557863207663936,0.11609773002945765,0.13713889645270688,0.07368121395153106,0.06859420253979256,0.09155382825457337,0.04910018070648809,0.018429586355422432,0.21484312788660612,0.23411371237458195,0.7848383500557413,0.19104953017996493,0.4489568402611881,0.3358815097945533,0.01607792657870634,0.5615020917394856,0.37096814119860383,0.06752976706191054,0.8409164046835161,0.1590835953164839,0.445404361710028,0.3269178404336956,0.209248211500854
