Geographic Area Name,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol
"Austin County, Texas",11041,482,459,1255,927,1186,1851,1651,2150,551,529,65365,80769,30858,55417,38603
"Kenedy County, Texas",209,25,4,49,13,71,16,23,8,0,0,36125,40908,15820,40848,23295
"Nueces County, Texas",128926,8919,6943,13180,12922,16876,23391,16265,18198,6452,5780,55048,74820,27649,48043,34488
"Colorado County, Texas",7511,386,381,894,891,1244,1345,935,678,428,329,49504,70324,27861,41853,34692
"San Patricio County, Texas",23121,1699,1068,2395,2145,3055,4469,2928,3112,1483,767,55229,71588,25281,50594,31847
"Rains County, Texas",4331,342,138,533,500,660,686,795,343,181,153,49872,65103,26165,46382,40277
"Randall County, Texas",49187,1954,1325,3516,4822,6151,9488,7413,8695,3345,2478,67397,86352,33814,54305,40771
"Real County, Texas",1227,169,83,216,147,216,174,108,64,33,17,34813,48791,21109,27143,27813
"San Saba County, Texas",2104,152,151,307,237,301,425,211,164,121,35,44698,63072,24307,41027,29239
"Schleicher County, Texas",1105,115,40,97,142,132,229,162,123,53,12,55677,61014,25128,53676,25379
"Sterling County, Texas",462,8,15,30,49,97,144,32,59,20,8,59286,66108,28997,67711,33462
"Zavala County, Texas",3509,445,482,599,434,592,500,313,129,9,6,30988,39610,13350,31708,22638
"Calhoun County, Texas",7604,561,280,677,812,1111,1472,883,1204,453,151,55469,70543,26596,47057,29847
"Carson County, Texas",2247,84,64,234,189,223,432,323,419,116,163,70087,84978,32917,55800,40615
"Foard County, Texas",557,9,41,76,78,86,129,65,37,18,18,46354,60131,25636,38977,20962
"Freestone County, Texas",6865,371,492,959,830,848,1057,756,1035,324,193,48731,67181,24083,50804,31098
"Goliad County, Texas",2681,246,173,294,244,203,408,315,478,197,123,60492,76236,29918,61554,39438
"Hamilton County, Texas",3108,191,267,385,379,355,548,357,394,116,116,47500,70251,28074,41516,29388
"Hardeman County, Texas",1519,70,140,301,128,187,312,179,144,12,46,42238,56979,22938,41901,29426
"Mitchell County, Texas",2441,48,87,441,175,479,337,343,394,22,115,49670,71553,20896,42345,34250
"Briscoe County, Texas",632,47,18,118,79,90,115,69,53,28,15,42647,58155,24286,37852,35139
"Lavaca County, Texas",7756,345,627,775,714,1169,1386,814,1133,377,416,53021,77669,31670,47562,34030
"Terry County, Texas",4041,287,149,510,521,713,703,480,388,206,84,44975,62229,20127,42368,31171
"Jeff Davis County, Texas",1050,60,56,137,111,151,241,181,87,23,3,53194,56213,26053,43295,35606
"Jim Hogg County, Texas",1710,173,197,336,206,190,205,180,146,30,47,32049,51120,17798,48097,22266
"Montgomery County, Texas",192823,7698,5203,13614,14507,20528,31726,25034,32753,16584,25176,77416,110807,39618,64402,46428
"Dallam County, Texas",2404,74,78,283,301,459,500,251,262,118,78,51250,78602,26844,45890,31543
"Webb County, Texas",73659,8833,5334,9056,8416,10141,11754,7378,8056,2498,2193,42293,59917,17326,36910,28115
"Armstrong County, Texas",708,16,37,38,60,67,195,94,128,52,21,66563,79808,31075,55250,40625
"Castro County, Texas",2532,148,133,247,356,499,478,306,197,116,52,45000,59313,20915,37044,35971
"Kleberg County, Texas",10946,1647,669,1436,928,1720,1454,1165,1241,399,287,42021,58413,21986,49596,30959
"Willacy County, Texas",5810,972,677,892,608,763,816,510,379,127,66,29944,45647,14207,33306,25991
"Crosby County, Texas",2044,218,151,288,292,363,324,210,128,30,40,37899,50926,19155,35793,26250
"Fisher County, Texas",1649,132,136,144,229,256,292,154,242,33,31,46827,64120,28355,45313,33750
"Duval County, Texas",3511,428,299,564,374,498,626,327,225,84,86,37382,50374,17864,43637,24217
"Blanco County, Texas",4297,167,151,401,353,657,851,465,699,268,285,63071,85285,34925,47961,34068
"Jasper County, Texas",12583,776,882,1818,1495,1692,2065,1584,1547,335,389,46088,64734,25004,57370,30417
"Kinney County, Texas",1170,84,82,305,173,123,114,121,144,15,9,31468,49372,20323,41530,35125
"Deaf Smith County, Texas",6139,332,415,471,686,1072,1125,900,871,141,126,51841,63376,21515,45189,30660
"Galveston County, Texas",119181,7129,4770,10383,9872,12982,18276,13461,20241,10546,11521,69369,95026,35448,64771,47458
