Geographic Area Name,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_cov_no
"Austin County, Texas",29298,25749,3549
"Kenedy County, Texas",595,467,128
"Nueces County, Texas",355767,295165,60602
"Colorado County, Texas",20703,17886,2817
"San Patricio County, Texas",66274,54752,11522
"Rains County, Texas",11410,9116,2294
"Randall County, Texas",131586,117531,14055
"Real County, Texas",3295,2386,909
"San Saba County, Texas",5290,4286,1004
"Schleicher County, Texas",3061,2414,647
"Sterling County, Texas",1103,880,223
"Zavala County, Texas",11935,9741,2194
"Calhoun County, Texas",21584,17492,4092
"Carson County, Texas",6003,5319,684
"Foard County, Texas",1373,1191,182
"Freestone County, Texas",18047,15220,2827
"Goliad County, Texas",7428,6634,794
"Hamilton County, Texas",8044,6639,1405
"Hardeman County, Texas",3940,3318,622
"Mitchell County, Texas",6308,5421,887
"Briscoe County, Texas",1546,1208,338
"Lavaca County, Texas",19506,17325,2181
"Terry County, Texas",11528,8940,2588
"Jeff Davis County, Texas",2172,1877,295
"Jim Hogg County, Texas",5253,4265,988
"Montgomery County, Texas",551489,472786,78703
"Dallam County, Texas",7204,5408,1796
"Webb County, Texas",269779,193922,75857
"Armstrong County, Texas",1853,1712,141
"Castro County, Texas",7696,5687,2009
"Kleberg County, Texas",30628,25323,5305
"Willacy County, Texas",20254,14556,5698
"Crosby County, Texas",5780,4602,1178
"Fisher County, Texas",3860,3267,593
"Duval County, Texas",10856,8200,2656
"Blanco County, Texas",11176,9163,2013
"Jasper County, Texas",34587,28798,5789
"Kinney County, Texas",3419,2919,500
"Deaf Smith County, Texas",18691,14880,3811
"Galveston County, Texas",321952,276296,45656
"La Salle County, Texas",6471,4846,1625
"Roberts County, Texas",885,812,73
"Tyler County, Texas",18777,15959,2818
"Wheeler County, Texas",5413,4348,1065
"Bowie County, Texas",88388,75530,12858
"Brewster County, Texas",9131,7595,1536
"Kent County, Texas",707,668,39
"Smith County, Texas",222704,184420,38284
"Crockett County, Texas",3559,3018,541
"Hardin County, Texas",55918,47649,8269
"Howard County, Texas",31813,26274,5539
"Leon County, Texas",17003,13948,3055
"Montague County, Texas",19113,15386,3727
"Panola County, Texas",23205,19160,4045
"Erath County, Texas",40979,33689,7290
"Brazoria County, Texas",342641,296664,45977
"Motley County, Texas",1156,920,236
"Donley County, Texas",3322,2812,510
"Atascosa County, Texas",48397,40732,7665
"Coleman County, Texas",8358,6437,1921
"Nolan County, Texas",14785,12234,2551
"Hudspeth County, Texas",3377,2586,791
"Medina County, Texas",46905,40650,6255
"Ward County, Texas",11477,9448,2029
"Henderson County, Texas",79500,64594,14906
"Harrison County, Texas",65875,56065,9810
"Menard County, Texas",2074,1422,652
"Lamar County, Texas",48942,40530,8412
"Fayette County, Texas",24647,21995,2652
"Williamson County, Texas",523527,474565,48962
"Polk County, Texas",44229,36096,8133
"Refugio County, Texas",7070,5948,1122
"Caldwell County, Texas",39420,31017,8403
"Wilbarger County, Texas",12720,10907,1813
"Reagan County, Texas",3716,2800,916
"Hale County, Texas",32366,26187,6179
"Shelby County, Texas",25304,19118,6186
"Runnels County, Texas",10093,8515,1578
"San Jacinto County, Texas",27678,22254,5424
"Tom Green County, Texas",112652,95645,17007
"Victoria County, Texas",90951,76546,14405
"Waller County, Texas",49757,39814,9943
"Wichita County, Texas",116887,100745,16142
"Wilson County, Texas",47533,40715,6818
"Hockley County, Texas",22950,18719,4231
"Maverick County, Texas",57698,40321,17377
"Midland County, Texas",162946,134490,28456
"Live Oak County, Texas",10652,8609,2043
"Llano County, Texas",20429,17006,3423
"Fannin County, Texas",31300,26291,5009
"Karnes County, Texas",12806,11029,1777
"Brazos County, Texas",214943,186806,28137
"Cass County, Texas",29691,25112,4579
"Gaines County, Texas",20212,13803,6409
"Gray County, Texas",21117,17296,3821
"Madison County, Texas",10531,9029,1502
"Jack County, Texas",7684,6346,1338
"Kendall County, Texas",41551,37727,3824
"Bosque County, Texas",17776,14594,3182
"Bexar County, Texas",1895810,1608911,286899
"Bailey County, Texas",6895,5474,1421
"Baylor County, Texas",3517,3058,459
"Cameron County, Texas",419590,299693,119897
"Denton County, Texas",803126,710804,92322
"Washington County, Texas",34144,30186,3958
"Morris County, Texas",12272,10490,1782
"Stephens County, Texas",8895,7038,1857
"Harris County, Texas",4581010,3657243,923767
"Andrews County, Texas",17725,14496,3229
"Gillespie County, Texas",25851,20998,4853
"Gonzales County, Texas",20384,16323,4061
"Lynn County, Texas",5766,4755,1011
"Young County, Texas",17825,14512,3313
"Zapata County, Texas",14334,10128,4206
"Hood County, Texas",56208,47617,8591
"Hopkins County, Texas",35802,29202,6600
"Ochiltree County, Texas",10285,8140,2145
"King County, Texas",228,210,18
"Knox County, Texas",3590,3022,568
"McLennan County, Texas",244239,207404,36835
"Cherokee County, Texas",49308,40034,9274
"Concho County, Texas",3068,2544,524
"Delta County, Texas",5149,4367,782
"Edwards County, Texas",2043,1792,251
"Eastland County, Texas",18007,15083,2924
"Jones County, Texas",12690,10923,1767
"Reeves County, Texas",12925,10281,2644
"Sabine County, Texas",10370,8855,1515
"Sherman County, Texas",3026,2430,596
"Swisher County, Texas",6830,5540,1290
"Hunt County, Texas",91346,75795,15551
"Camp County, Texas",12760,10639,2121
"Hansford County, Texas",5463,4386,1077
"Guadalupe County, Texas",152940,135375,17565
"Clay County, Texas",10321,8885,1436
"Hill County, Texas",34754,29129,5625
"Nacogdoches County, Texas",64791,52520,12271
"Parmer County, Texas",9772,7773,1999
"Presidio County, Texas",7123,4988,2135
"Val Verde County, Texas",46335,37714,8621
"Ector County, Texas",157175,123453,33722
"Glasscock County, Texas",1430,1140,290
"Grimes County, Texas",24066,20774,3292
"Collin County, Texas",941564,843739,97825
"Angelina County, Texas",85457,69027,16430
"Cottle County, Texas",1623,1402,221
"Hays County, Texas",202381,174038,28343
"Lipscomb County, Texas",3424,2773,651
"Matagorda County, Texas",36342,29201,7141
"Pecos County, Texas",13694,10913,2781
"Rockwall County, Texas",92892,82446,10446
"Rusk County, Texas",48744,39359,9385
"Throckmorton County, Texas",1556,1285,271
"Walker County, Texas",56813,49198,7615
"Wood County, Texas",42880,37006,5874
"Aransas County, Texas",24388,19385,5003
"Childress County, Texas",5805,4810,995
"Coke County, Texas",3177,2765,412
"Coryell County, Texas",57922,52188,5734
"Hemphill County, Texas",4018,2938,1080
"Moore County, Texas",21627,18038,3589
"Navarro County, Texas",47811,39507,8304
"San Augustine County, Texas",8094,6848,1246
"Shackelford County, Texas",3285,2862,423
"Starr County, Texas",63359,42224,21135
"Upton County, Texas",3577,3115,462
"Bastrop County, Texas",80461,67320,13141
"Hall County, Texas",3016,2244,772
"Franklin County, Texas",10584,8824,1760
"Frio County, Texas",15733,12265,3468
"Lampasas County, Texas",20242,17253,2989
"Mason County, Texas",4150,3306,844
"Dickens County, Texas",2092,1698,394
"Tarrant County, Texas",2004359,1677121,327238
"Anderson County, Texas",44353,38116,6237
"Jackson County, Texas",14591,12288,2303
"Milam County, Texas",24164,20935,3229
"Comanche County, Texas",13292,10885,2407
"Brooks County, Texas",6638,5185,1453
"Titus County, Texas",32479,26555,5924
"Liberty County, Texas",74715,60494,14221
"Wise County, Texas",63665,52358,11307
"Jim Wells County, Texas",40799,33303,7496
"Dimmit County, Texas",10555,8210,2345
"Fort Bend County, Texas",734071,652304,81767
"Irion County, Texas",1508,1298,210
"Cooke County, Texas",39107,33276,5831
"Dawson County, Texas",11190,9464,1726
"Burleson County, Texas",17692,14742,2950
"Jefferson County, Texas",241135,191760,49375
"Oldham County, Texas",1520,1356,164
"El Paso County, Texas",813458,645185,168273
"Terrell County, Texas",862,729,133
"Uvalde County, Texas",26582,20914,5668
"Archer County, Texas",8723,7727,996
"Hidalgo County, Texas",841221,584950,256271
"Somervell County, Texas",8557,7098,1459
"Haskell County, Texas",5241,4227,1014
"Mills County, Texas",4735,3755,980
"Newton County, Texas",13870,11580,2290
"Kimble County, Texas",4356,3355,1001
"Van Zandt County, Texas",53721,44481,9240
"Martin County, Texas",5543,4845,698
"Yoakum County, Texas",8571,6649,1922
"Red River County, Texas",12077,10323,1754
"Sutton County, Texas",3844,3169,675
"Upshur County, Texas",40221,33423,6798
"Wharton County, Texas",41197,33706,7491
"Borden County, Texas",665,634,31
"Marion County, Texas",9954,8722,1232
"Grayson County, Texas",127174,105716,21458
"Palo Pinto County, Texas",28074,22853,5221
"DeWitt County, Texas",18492,16089,2403
"Callahan County, Texas",13684,11151,2533
"Gregg County, Texas",121339,98319,23020
"Lubbock County, Texas",297274,257051,40223
"Kaufman County, Texas",117811,99986,17825
"Floyd County, Texas",5834,4525,1309
"Chambers County, Texas",40076,34357,5719
"Bell County, Texas",321558,283732,37826
"Hutchinson County, Texas",21464,17752,3712
"Orange County, Texas",83301,70470,12831
"Winkler County, Texas",7703,6046,1657
"Burnet County, Texas",45246,38384,6862
"Dallas County, Texas",2568003,2027479,540524
"McMullen County, Texas",662,581,81
"Johnson County, Texas",161010,135010,26000
"Hartley County, Texas",4220,3508,712
"Limestone County, Texas",22659,17953,4706
"Parker County, Texas",128417,110622,17795
"Culberson County, Texas",2233,1770,463
"Garza County, Texas",4405,3633,772
"Travis County, Texas",1195755,1033927,161828
"Collingsworth County, Texas",2929,2266,663
"Lamb County, Texas",13062,10062,3000
"Loving County, Texas",102,91,11
"Robertson County, Texas",16698,14199,2499
"Taylor County, Texas",130933,113303,17630
"Trinity County, Texas",14434,11503,2931
"Bandera County, Texas",21584,17769,3815
"Cochran County, Texas",2879,2073,806
"Comal County, Texas",133918,117455,16463
"Houston County, Texas",19828,16851,2977
"Potter County, Texas",114083,89365,24718
"Scurry County, Texas",15723,13314,2409
"Stonewall County, Texas",1331,1134,197
"Brown County, Texas",36773,31720,5053
"Bee County, Texas",25061,20059,5002
"Crane County, Texas",4738,3976,762
"McCulloch County, Texas",7960,6496,1464
"Lee County, Texas",16491,14397,2094
"Ellis County, Texas",167585,142034,25551
"Kerr County, Texas",50494,42461,8033
"Falls County, Texas",15531,12901,2630
"Schoharie County, New York",31286,29976,1310
"Onondaga County, New York",459222,440428,18794
"Clinton County, New York",76283,72910,3373
"Seneca County, New York",31836,28764,3072
"Putnam County, New York",98561,94015,4546
"Franklin County, New York",45937,42948,2989
"Ontario County, New York",108574,104239,4335
"Queens County, New York",2283272,2042742,240530
"Steuben County, New York",95781,90203,5578
"Hamilton County, New York",4550,4241,309
"Washington County, New York",58820,55035,3785
"Chautauqua County, New York",127138,120117,7021
"Kings County, New York",2588145,2374783,213362
"New York County, New York",1621687,1527908,93779
"Tioga County, New York",48665,46526,2139
"Cayuga County, New York",74300,70255,4045
"Orleans County, New York",38540,36413,2127
"Saratoga County, New York",224396,216436,7960
"Rockland County, New York",321618,302011,19607
"Columbia County, New York",59273,56514,2759
"Lewis County, New York",26366,24621,1745
"Niagara County, New York",209648,202132,7516
"Westchester County, New York",956399,891687,64712
"Delaware County, New York",45062,42341,2721
"Essex County, New York",35351,33978,1373
"Montgomery County, New York",48655,45441,3214
"Nassau County, New York",1346651,1282018,64633
"Richmond County, New York",469981,446828,23153
"Schuyler County, New York",17804,16813,991
"Tompkins County, New York",102106,98366,3740
"Chenango County, New York",47740,45479,2261
"Cortland County, New York",47652,45596,2056
"Jefferson County, New York",102603,96498,6105
"Oneida County, New York",223217,213820,9397
"Suffolk County, New York",1474764,1395088,79676
"Wyoming County, New York",37721,36145,1576
"Chemung County, New York",82378,78599,3779
"Oswego County, New York",118412,112456,5956
"Otsego County, New York",59581,56178,3403
"Wayne County, New York",89965,85442,4523
"Albany County, New York",303585,291580,12005
"Broome County, New York",191590,183595,7995
"Erie County, New York",908252,874526,33726
"Madison County, New York",70843,67467,3376
"Sullivan County, New York",73075,68586,4489
"Genesee County, New York",57637,55277,2360
"Orange County, New York",369400,350053,19347
"Bronx County, New York",1416810,1279890,136920
"Fulton County, New York",52990,49650,3340
"Rensselaer County, New York",157677,150973,6704
"Herkimer County, New York",61854,58224,3630
"St. Lawrence County, New York",105917,99649,6268
"Warren County, New York",63886,60663,3223
"Dutchess County, New York",285918,271484,14434
"Monroe County, New York",737093,708983,28110
"Ulster County, New York",175004,164765,10239
"Livingston County, New York",61252,59228,2024
"Greene County, New York",44687,42212,2475
"Allegany County, New York",46552,43329,3223
"Cattaraugus County, New York",76884,71522,5362
"Schenectady County, New York",153101,145775,7326
"Yates County, New York",24671,20029,4642
"Lake County, California",63451,57446,6005
"Mariposa County, California",17370,16526,844
"Yuba County, California",73339,67493,5846
"Contra Costa County, California",1128003,1063814,64189
"Lassen County, California",21376,20160,1216
"Santa Barbara County, California",436711,390233,46478
"Sonoma County, California",497067,462681,34386
"Imperial County, California",170734,154851,15883
"Mono County, California",14059,11724,2335
"Alameda County, California",1634128,1550217,83911
"Sacramento County, California",1495461,1401166,94295
"Napa County, California",138703,129688,9015
"Monterey County, California",416906,370256,46650
"Sierra County, California",2903,2607,296
"San Diego County, California",3204470,2924868,279602
"Yolo County, California",213606,201043,12563
"Humboldt County, California",134810,121755,13055
"Alpine County, California",1146,1028,118
"Mendocino County, California",86575,78510,8065
"Santa Cruz County, California",272297,255293,17004
"Los Angeles County, California",10030450,8943793,1086657
"Riverside County, California",2361744,2124439,237305
"Santa Clara County, California",1912773,1821047,91726
"Marin County, California",255552,245300,10252
"Siskiyou County, California",43429,40379,3050
"Shasta County, California",177648,164382,13266
"Del Norte County, California",24362,22829,1533
"Glenn County, California",27593,24949,2644
"Butte County, California",224510,207949,16561
"Plumas County, California",18544,17897,647
"San Luis Obispo County, California",274891,254176,20715
"Kern County, California",854578,777362,77216
"Orange County, California",3147477,2881804,265673
"Calaveras County, California",44842,42509,2333
"Sutter County, California",94632,85514,9118
"San Mateo County, California",762101,725672,36429
"Tuolumne County, California",50912,47997,2915
"San Joaquin County, California",723069,669097,53972
"Amador County, California",34174,32725,1449
"Merced County, California",266325,243180,23145
"Modoc County, California",8714,7646,1068
"Inyo County, California",17681,16556,1125
"Stanislaus County, California",536175,501163,35012
"Tehama County, California",62838,58226,4612
"San Benito County, California",59259,54893,4366
"El Dorado County, California",185338,175682,9656
"San Francisco County, California",865827,828067,37760
"Tulare County, California",456524,411745,44779
"Nevada County, California",98103,90498,7605
"Madera County, California",147037,133253,13784
"Trinity County, California",12691,11256,1435
"San Bernardino County, California",2084508,1889161,195347
"Placer County, California",377358,359456,17902
"Solano County, California",426327,402631,23696
"Colusa County, California",21297,19094,2203
"Kings County, California",133153,122207,10946
"Fresno County, California",966908,874873,92035
"Ventura County, California",841489,763015,78474
"Okaloosa County, Florida",188311,165270,23041
"Taylor County, Florida",18239,16245,1994
"Washington County, Florida",21882,19075,2807
"Duval County, Florida",904689,796445,108244
"Bradford County, Florida",23454,20552,2902
"Brevard County, Florida",571935,510341,61594
"Clay County, Florida",204438,183269,21169
"Lafayette County, Florida",7204,5938,1266
"Lake County, Florida",331957,293587,38370
"Nassau County, Florida",79567,70776,8791
"Pinellas County, Florida",946661,838204,108457
"Polk County, Florida",660644,573708,86936
"St. Lucie County, Florida",303304,260712,42592
"Glades County, Florida",12147,9731,2416
"Hendry County, Florida",39475,29143,10332
"Indian River County, Florida",149716,131642,18074
"Jackson County, Florida",40870,36236,4634
"Palm Beach County, Florida",1433604,1238294,195310
"St. Johns County, Florida",233891,214276,19615
"Seminole County, Florida",451979,405072,46907
"Miami-Dade County, Florida",2690040,2202156,487884
"Bay County, Florida",177687,152436,25251
"Flagler County, Florida",106747,93210,13537
"Franklin County, Florida",10125,8269,1856
"Hamilton County, Florida",10987,9419,1568
"Liberty County, Florida",6954,5666,1288
"Sumter County, Florida",111788,104907,6881
"Gadsden County, Florida",43046,36612,6434
"Holmes County, Florida",17620,14284,3336
"Lee County, Florida",713427,611685,101742
"Marion County, Florida",339473,297640,41833
"Collier County, Florida",362009,302275,59734
"Orange County, Florida",1309805,1119368,190437
"Pasco County, Florida",504686,444881,59805
"Highlands County, Florida",100987,88201,12786
"Suwannee County, Florida",42426,36529,5897
"DeSoto County, Florida",34677,28284,6393
"Calhoun County, Florida",12409,10134,2275
"Columbia County, Florida",64352,56341,8011
"Dixie County, Florida",14879,12318,2561
"Putnam County, Florida",71607,60138,11469
"Union County, Florida",9724,8515,1209
"Manatee County, Florida",370913,323667,47246
"Levy County, Florida",39679,33542,6137
"Baker County, Florida",25164,22021,3143
"Volusia County, Florida",522429,457315,65114
"Leon County, Florida",284753,261303,23450
"Madison County, Florida",16422,14265,2157
"Escambia County, Florida",296511,266266,30245
"Hernando County, Florida",180731,157964,22767
"Hillsborough County, Florida",1367433,1189311,178122
