Geographic Area Name,obes_percent
"Anderson County, Texas",0.373
"Andrews County, Texas",0.313
"Angelina County, Texas",0.396
"Aransas County, Texas",0.377
"Archer County, Texas",0.28300000000000003
"Armstrong County, Texas",0.23
"Atascosa County, Texas",0.4
"Austin County, Texas",0.32
"Bailey County, Texas",0.263
"Bandera County, Texas",0.29100000000000004
"Bastrop County, Texas",0.413
"Baylor County, Texas",0.27
"Bee County, Texas",0.337
"Bell County, Texas",0.326
"Bexar County, Texas",0.297
"Blanco County, Texas",0.226
"Borden County, Texas",0.245
"Bosque County, Texas",0.263
"Bowie County, Texas",0.456
"Brazoria County, Texas",0.317
"Brazos County, Texas",0.312
"Brewster County, Texas",0.262
"Briscoe County, Texas",0.267
"Brooks County, Texas",0.35
"Brown County, Texas",0.371
"Burleson County, Texas",0.462
"Burnet County, Texas",0.336
"Caldwell County, Texas",0.39
"Calhoun County, Texas",0.32
"Callahan County, Texas",0.387
"Cameron County, Texas",0.312
"Camp County, Texas",0.218
"Carson County, Texas",0.26899999999999996
"Cass County, Texas",0.449
"Castro County, Texas",0.285
"Chambers County, Texas",0.327
"Cherokee County, Texas",0.442
"Childress County, Texas",0.237
"Clay County, Texas",0.33399999999999996
"Cochran County, Texas",0.275
"Coke County, Texas",0.27899999999999997
"Coleman County, Texas",0.222
"Collin County, Texas",0.251
"Collingsworth County, Texas",0.261
"Colorado County, Texas",0.247
"Comal County, Texas",0.295
"Comanche County, Texas",0.249
"Concho County, Texas",0.196
"Cooke County, Texas",0.245
"Coryell County, Texas",0.312
"Cottle County, Texas",0.20199999999999999
"Crane County, Texas",0.204
"Crockett County, Texas",0.3
"Crosby County, Texas",0.259
"Culberson County, Texas",0.32
"Dallam County, Texas",0.275
"Dallas County, Texas",0.305
"Dawson County, Texas",0.27899999999999997
"Deaf Smith County, Texas",0.261
"Delta County, Texas",0.292
"Denton County, Texas",0.317
"DeWitt County, Texas",0.255
"Dickens County, Texas",0.18
"Dimmit County, Texas",0.265
"Donley County, Texas",0.307
"Duval County, Texas",0.26
"Eastland County, Texas",0.29
"Ector County, Texas",0.37200000000000005
"Edwards County, Texas",0.22899999999999998
"El Paso County, Texas",0.315
"Ellis County, Texas",0.38
"Erath County, Texas",0.34
"Falls County, Texas",0.29
"Fannin County, Texas",0.32
"Fayette County, Texas",0.24
"Fisher County, Texas",0.22899999999999998
"Floyd County, Texas",0.31
"Foard County, Texas",0.28800000000000003
"Fort Bend County, Texas",0.254
"Franklin County, Texas",0.305
"Freestone County, Texas",0.39
"Frio County, Texas",0.294
"Gaines County, Texas",0.34600000000000003
"Galveston County, Texas",0.344
"Garza County, Texas",0.191
"Gillespie County, Texas",0.244
"Glasscock County, Texas",0.263
"Goliad County, Texas",0.311
"Gonzales County, Texas",0.32799999999999996
"Gray County, Texas",0.358
"Grayson County, Texas",0.381
"Gregg County, Texas",0.34299999999999997
"Grimes County, Texas",0.406
