USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI
CA,6001,1675839,Alameda County,1909598013,216923745,737.3,83.755
CA,6003,1675840,Alpine County,1912292630,12557304,738.34,4.848
CA,6005,1675841,Amador County,1539933577,29470567,594.572,11.379
CA,6007,1675842,Butte County,4238438186,105311003,1636.47,40.661
CA,6009,1675885,Calaveras County,2641829200,43797659,1020.016,16.91
CA,6011,1675902,Colusa County,2980332864,14608870,1150.713,5.641
CA,6013,1675903,Contra Costa County,1857233047,225282636,717.082,86.982
CA,6015,1682074,Del Norte County,2606117983,578742642,1006.228,223.454
CA,6017,277273,El Dorado County,4423290468,203328472,1707.842,78.506
CA,6019,277274,Fresno County,15431404077,137345152,5958.099,53.029
CA,6021,277275,Glenn County,3403160290,33693350,1313.968,13.009
CA,6023,1681908,Humboldt County,9241527430,1253763757,3568.174,484.081
CA,6025,277277,Imperial County,10817292933,790212281,4176.58,305.103
CA,6027,1804637,Inyo County,26368508430,119088151,10180.938,45.98
CA,6029,2054176,Kern County,21062456129,78764641,8132.26,30.411
CA,6031,277280,Kings County,3600883824,3162664,1390.309,1.221
CA,6033,277281,Lake County,3254364315,188836455,1256.517,72.91
CA,6035,1693324,Lassen County,11761615592,463426051,4541.185,178.93
CA,6037,277283,Los Angeles County,10510671776,1794675167,4058.193,692.928
CA,6039,277284,Madera County,5534617472,42245931,2136.928,16.311
CA,6041,277285,Marin County,1347976788,797029137,520.457,307.735
CA,6043,277286,Mariposa County,3752472149,36225644,1448.838,13.987
CA,6045,277287,Mendocino County,9081426659,962946207,3506.359,371.796
CA,6047,277288,Merced County,5013300944,111383846,1935.646,43.006
CA,6049,277289,Modoc County,10140960152,745420661,3915.447,287.809
CA,6051,277290,Mono County,7896838487,214695672,3048.987,82.894
CA,6053,277291,Monterey County,8499616962,1267799938,3281.721,489.5
CA,6055,277292,Napa County,1938114186,104300794,748.31,40.271
CA,6057,1682927,Nevada County,2480587324,41531993,957.76,16.036
CA,6059,277294,Orange County,2053294769,402004844,792.782,155.215
CA,6061,277295,Placer County,3644325262,246494490,1407.082,95.172
CA,6063,277296,Plumas County,6612400908,156387636,2553.062,60.382
CA,6065,277297,Riverside County,18664901451,250194697,7206.559,96.601
CA,6067,277298,Sacramento County,2500490904,74894369,965.445,28.917
CA,6069,277299,San Benito County,3596590995,4719296,1388.652,1.822
CA,6071,277300,San Bernardino County,51954895600,117095140,20059.898,45.211
CA,6073,277301,San Diego County,10900649391,820695499,4208.764,316.872
CA,6075,277302,San Francisco County,121375681,479216672,46.863,185.027
CA,6077,277303,San Joaquin County,3606263159,88974329,1392.386,34.353
CA,6079,277304,San Luis Obispo County,8548611925,815519172,3300.638,314.874
CA,6081,277305,San Mateo County,1161960635,757110545,448.636,292.322
CA,6083,277306,Santa Barbara County,7083976828,2729838280,2735.139,1053.996
CA,6085,277307,Santa Clara County,3343896477,33589866,1291.086,12.969
CA,6087,277308,Santa Cruz County,1152866293,419671509,445.124,162.036
CA,6089,1682610,Shasta County,9778230074,186479459,3775.396,72
CA,6091,277310,Sierra County,2468694587,23299110,953.168,8.996
CA,6093,277311,Siskiyou County,16261933260,179149816,6278.768,69.17
CA,6095,277312,Solano County,2128327622,218699936,821.752,84.441
CA,6097,1657246,Sonoma County,4081491107,497455304,1575.873,192.069
CA,6099,277314,Stanislaus County,3874662824,46356389,1496.016,17.898
CA,6101,277315,Sutter County,1560546527,15240593,602.53,5.884
CA,6103,1692767,Tehama County,7638228750,33767783,2949.137,13.038
CA,6105,277317,Trinity County,8234265085,73407950,3179.268,28.343
CA,6107,277318,Tulare County,12495083015,37014644,4824.379,14.291
CA,6109,277319,Tuolumne County,5752079372,138722707,2220.89,53.561
CA,6111,277320,Ventura County,4771968316,947365005,1842.467,365.78
CA,6113,277321,Yolo County,2628144763,22878452,1014.732,8.833
CA,6115,277322,Yuba County,1636913845,31057995,632.016,11.992
