USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI
FL,12001,308548,Alachua County,2266324954,242877007,875.033,93.775
FL,12003,306920,Baker County,1515738968,9686120,585.23,3.74
FL,12005,295738,Bay County,1964585684,711267987,758.531,274.622
FL,12007,303634,Bradford County,761362115,16905201,293.964,6.527
FL,12009,295749,Brevard County,2629306677,1403367455,1015.181,541.843
FL,12011,295753,Broward County,3116026236,310052487,1203.105,119.712
FL,12013,306919,Calhoun County,1469390185,18074799,567.335,6.979
FL,12015,295742,Charlotte County,1764058624,458736687,681.107,177.119
FL,12017,295752,Citrus County,1507142282,495547943,581.911,191.332
FL,12019,295726,Clay County,1566375291,100402899,604.781,38.766
FL,12021,295754,Collier County,5170431469,799432008,1996.315,308.662
FL,12023,306909,Columbia County,2065645989,9755973,797.55,3.767
FL,12027,294452,DeSoto County,1649027555,6243548,636.693,2.411
FL,12029,295725,Dixie County,1826212953,410630401,705.105,158.545
FL,12031,293656,Duval County,1975993782,402807900,762.935,155.525
FL,12033,295737,Escambia County,1701544502,563927612,656.97,217.734
FL,12035,308547,Flagler County,1256519758,221918898,485.145,85.683
FL,12037,306911,Franklin County,1411908386,1275539661,545.141,492.489
FL,12039,306918,Gadsden County,1337194435,31686103,516.294,12.234
FL,12041,303633,Gilchrist County,905705530,14362143,349.695,5.545
FL,12043,295743,Glades County,2089129695,466706483,806.618,180.196
FL,12045,306917,Gulf County,1433354005,494697662,553.421,191.004
FL,12047,295736,Hamilton County,1330689567,13659798,513.782,5.274
FL,12049,295746,Hardee County,1651329788,1439673,637.582,0.556
FL,12051,307626,Hendry County,2994619283,87037213,1156.229,33.605
FL,12053,295751,Hernando County,1224485109,301068594,472.776,116.243
FL,12055,295756,Highlands County,2634768891,231625544,1017.29,89.431
FL,12057,295757,Hillsborough County,2646574869,631652995,1021.848,243.883
FL,12059,295735,Holmes County,1240232909,26393537,478.857,10.191
FL,12061,307624,Indian River County,1302203812,295578903,502.784,114.124
FL,12063,295734,Jackson County,2378066187,94242663,918.177,36.387
FL,12065,295733,Jefferson County,1549012956,99610823,598.077,38.46
FL,12067,295732,Lafayette County,1407329178,11745117,543.373,4.535
FL,12069,308551,Lake County,2462296203,534178837,950.698,206.248
FL,12071,295758,Lee County,2025413418,1114617195,782.017,430.356
FL,12073,306916,Leon County,1727086019,90548394,666.832,34.961
FL,12075,295724,Levy County,2896211042,762907881,1118.233,294.56
FL,12077,308549,Liberty County,2164099093,19582444,835.563,7.561
FL,12079,295731,Madison County,1804001485,49634046,696.529,19.164
FL,12081,295744,Manatee County,1924706077,387507719,743.133,149.618
FL,12083,306922,Marion County,4113955311,192320562,1588.407,74.255
FL,12085,308550,Martin County,1408397026,542185816,543.785,209.339
FL,12086,295755,Miami-Dade County,4917746437,1378974993,1898.753,532.425
FL,12087,295759,Monroe County,2546027976,7133356544,983.027,2754.204
FL,12089,295730,Nassau County,1680074654,200051078,648.68,77.24
FL,12091,306915,Okaloosa County,2409293012,393276379,930.233,151.845
FL,12093,295760,Okeechobee County,1991328272,318722514,768.856,123.059
FL,12095,295750,Orange County,2337566033,260717886,902.539,100.664
FL,12097,295748,Osceola County,3438755923,461862673,1327.711,178.326
FL,12099,295761,Palm Beach County,5090938139,1081432228,1965.622,417.543
FL,12101,295739,Pasco County,1933862570,315412854,746.669,121.782
FL,12103,295745,Pinellas County,709006650,866038559,273.749,334.379
FL,12105,295747,Polk County,4654624281,552319387,1797.161,213.252
FL,12107,306910,Putnam County,1885167077,256548277,727.867,99.054
FL,12109,308371,St. Johns County,1555841585,571923268,600.714,220.821
FL,12111,308372,St. Lucie County,1480655751,300844500,571.684,116.157
FL,12113,306914,Santa Rosa County,2622050626,418020795,1012.379,161.399
FL,12115,295741,Sarasota County,1442282866,436195743,556.869,168.416
FL,12117,303665,Seminole County,801344504,93079561,309.401,35.938
FL,12119,295740,Sumter County,1442915229,58825881,557.113,22.713
FL,12121,295729,Suwannee County,1783342120,9593307,688.552,3.704
FL,12123,295728,Taylor County,2702180641,489194665,1043.318,188.879
FL,12125,306913,Union County,630806896,16049423,243.556,6.197
FL,12127,306921,Volusia County,2852206495,857789601,1101.243,331.194
FL,12129,306912,Wakulla County,1570616088,334902007,606.418,129.306
FL,12131,295727,Walton County,2687739968,522795375,1037.742,201.852
FL,12133,295762,Washington County,1514305159,81008994,584.677,31.278
