USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI
IL,17001,424202,Adams County,2214804824,41767689,855.141,16.127
IL,17003,424203,Alexander County,609996948,44237171,235.521,17.08
IL,17005,424204,Bond County,985073312,6462629,380.339,2.495
IL,17007,424205,Boone County,727171389,3361806,280.762,1.298
IL,17009,424206,Brown County,791704469,4139310,305.679,1.598
IL,17011,424207,Bureau County,2250916543,11606402,869.084,4.481
IL,17013,424208,Calhoun County,657402921,77058387,253.825,29.752
IL,17015,424209,Carroll County,1152657063,55892254,445.043,21.58
IL,17017,424210,Cass County,973191108,20570537,375.751,7.942
IL,17019,424211,Champaign County,2579909092,6099477,996.109,2.355
IL,17021,424212,Christian County,1837575850,16221210,709.492,6.263
IL,17023,424213,Clark County,1298695036,8796711,501.429,3.396
IL,17025,424214,Clay County,1212815749,3271820,468.271,1.263
IL,17027,424215,Clinton County,1227664369,75635324,474.004,29.203
IL,17029,424216,Coles County,1316459189,4631826,508.288,1.788
IL,17031,1784766,Cook County,2447370818,1786313044,944.935,689.699
IL,17033,424218,Crawford County,1148953805,5718140,443.614,2.208
IL,17035,424219,Cumberland County,895929073,2529531,345.92,0.977
IL,17037,422190,DeKalb County,1635174009,8532272,631.344,3.294
IL,17039,426598,De Witt County,1029654716,19515948,397.552,7.535
IL,17041,424222,Douglas County,1079156581,1448702,416.665,0.559
IL,17043,422191,DuPage County,848808625,22435476,327.727,8.662
IL,17045,424224,Edgar County,1614558743,1583699,623.385,0.611
IL,17047,424225,Edwards County,576061989,781203,222.419,0.302
IL,17049,424226,Effingham County,1239970330,3183217,478.755,1.229
IL,17051,424227,Fayette County,1855715976,22931323,716.496,8.854
IL,17053,424228,Ford County,1257690125,1640596,485.597,0.633
IL,17055,424229,Franklin County,1059098605,58350789,408.92,22.529
IL,17057,424230,Fulton County,2242157116,43975590,865.702,16.979
IL,17059,424231,Gallatin County,836540182,13265237,322.99,5.122
IL,17061,424232,Greene County,1406415355,8423898,543.02,3.252
IL,17063,424233,Grundy County,1082842942,32125973,418.088,12.404
IL,17065,424234,Hamilton County,1125696542,3172088,434.634,1.225
IL,17067,424235,Hancock County,2055722033,53564033,793.719,20.681
IL,17069,424236,Hardin County,459650851,10640803,177.472,4.108
IL,17071,424237,Henderson County,981059027,42557504,378.789,16.432
IL,17073,424238,Henry County,2131558653,6855644,822.999,2.647
IL,17075,424239,Iroquois County,2894067723,4209399,1117.406,1.625
IL,17077,424240,Jackson County,1512739198,47416092,584.072,18.307
IL,17079,424241,Jasper County,1281043664,9334509,494.614,3.604
IL,17081,424242,Jefferson County,1479418967,32683606,571.207,12.619
IL,17083,424243,Jersey County,956445338,20311971,369.286,7.842
IL,17085,424244,Jo Daviess County,1556339128,45776829,600.906,17.675
IL,17087,424245,Johnson County,890762652,12789863,343.925,4.938
IL,17089,424246,Kane County,1345134059,12490587,519.359,4.823
IL,17091,424247,Kankakee County,1752121058,12440760,676.498,4.803
IL,17093,424248,Kendall County,829468028,5136619,320.259,1.983
IL,17095,424249,Knox County,1855569287,8837382,716.439,3.412
IL,17097,1784796,Lake County,1149803084,2394144252,443.941,924.384
IL,17099,422247,LaSalle County,2940116335,33701591,1135.185,13.012
IL,17101,424252,Lawrence County,963936864,5077783,372.178,1.961
IL,17103,424253,Lee County,1877336056,10634483,724.844,4.106
IL,17105,424254,Livingston County,2702980759,5975818,1043.627,2.307
IL,17107,424255,Logan County,1600795502,2252736,618.071,0.87
IL,17109,1784729,McDonough County,1526558588,2012555,589.408,0.777
