USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI
NY,36001,974099,Albany County,1354120790,27124553,522.829,10.473
NY,36003,974100,Allegany County,2666029673,12999275,1029.36,5.019
NY,36005,974101,Bronx County,108908944,39688554,42.05,15.324
NY,36007,974102,Broome County,1828055107,25117478,705.816,9.698
NY,36009,974103,Cattaraugus County,3388616853,36624888,1308.352,14.141
NY,36011,974104,Cayuga County,1791190506,445708165,691.583,172.089
NY,36013,974105,Chautauqua County,2745967842,1139487496,1060.224,439.959
NY,36015,974106,Chemung County,1055036193,8876788,407.352,3.427
NY,36017,974107,Chenango County,2314393899,13046917,893.593,5.037
NY,36019,974108,Clinton County,2687771456,206611031,1037.754,79.773
NY,36021,974109,Columbia County,1643770743,35071400,634.663,13.541
NY,36023,974110,Cortland County,1291815778,7112822,498.773,2.746
NY,36025,974111,Delaware County,3735851364,64818689,1442.42,25.027
NY,36027,974112,Dutchess County,2060717226,76917249,795.647,29.698
NY,36029,974113,Erie County,2700643194,476896403,1042.724,184.131
NY,36031,974114,Essex County,4646744231,316359504,1794.118,122.147
NY,36033,974115,Franklin County,4219643543,176696509,1629.214,68.223
NY,36035,974116,Fulton County,1283234675,96916406,495.46,37.42
NY,36037,974117,Genesee County,1276700275,6142607,492.937,2.372
NY,36039,974118,Greene County,1676140493,28201061,647.161,10.888
NY,36041,974119,Hamilton County,4447982191,234211585,1717.376,90.43
NY,36043,974120,Herkimer County,3655807440,120420521,1411.515,46.495
NY,36045,974121,Jefferson County,3285906470,1524628784,1268.696,588.662
NY,36047,974122,Kings County,179671325,71098973,69.371,27.451
NY,36049,974123,Lewis County,3301307118,39612945,1274.642,15.295
NY,36051,974124,Livingston County,1636256617,22006106,631.762,8.497
NY,36053,974125,Madison County,1696091557,16670528,654.865,6.437
NY,36055,974126,Monroe County,1701292247,1838454277,656.873,709.831
NY,36057,974127,Montgomery County,1044066971,18599188,403.117,7.181
NY,36059,974128,Nassau County,737085188,437386635,284.59,168.876
NY,36061,974129,New York County,58680498,28551707,22.657,11.024
NY,36063,974130,Niagara County,1352887109,1598842825,522.353,617.317
NY,36065,974131,Oneida County,3139921993,117340435,1212.331,45.305
NY,36067,974132,Onondaga County,2016012323,70528310,778.387,27.231
NY,36069,974133,Ontario County,1668067226,47868195,644.044,18.482
NY,36071,974134,Orange County,2103901761,68090736,812.321,26.29
NY,36073,974135,Orleans County,1013366843,1103741896,391.263,426.157
NY,36075,974136,Oswego County,2464747828,933478468,951.644,360.418
NY,36077,974137,Otsego County,2594462122,36339120,1001.727,14.031
NY,36079,974138,Putnam County,596526069,41260930,230.32,15.931
NY,36081,974139,Queens County,281734474,179364919,108.778,69.253
NY,36083,974140,Rensselaer County,1689851801,33533586,652.455,12.947
NY,36085,974141,Richmond County,148972685,115952653,57.519,44.77
NY,36087,974142,Rockland County,449197039,66864253,173.436,25.816
NY,36089,977309,St. Lawrence County,6939274584,367900953,2679.269,142.047
NY,36091,974143,Saratoga County,2097879149,87573063,809.996,33.812
NY,36093,974144,Schenectady County,529858774,12597881,204.58,4.864
NY,36095,974145,Schoharie County,1610503568,11676951,621.819,4.508
NY,36097,974146,Schuyler County,850405404,36246373,328.343,13.995
NY,36099,974147,Seneca County,838403627,172828921,323.709,66.73
NY,36101,974148,Steuben County,3601504766,35055664,1390.549,13.535
NY,36103,974149,Suffolk County,2361492153,3784901731,911.777,1461.359
NY,36105,974150,Sullivan County,2507463740,74034521,968.137,28.585
NY,36107,974151,Tioga County,1343194501,11058002,518.61,4.27
NY,36109,974152,Tompkins County,1229314961,43787671,474.641,16.907
NY,36111,974153,Ulster County,2911757798,94596946,1124.236,36.524
NY,36113,974154,Warren County,2246154412,166682936,867.245,64.357
NY,36115,974155,Washington County,2152713608,38126958,831.167,14.721
NY,36117,974156,Wayne County,1563910796,2018187304,603.829,779.227
NY,36119,974157,Westchester County,1115165961,179810252,430.568,69.425
NY,36121,974158,Wyoming County,1535216593,9158424,592.75,3.536
NY,36123,974159,Yates County,875785688,97504774,338.143,37.647
