USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI
TX,48001,1383786,Anderson County,2752198848,39810264,1062.63,15.371
TX,48003,1383787,Andrews County,3886850264,957039,1500.721,0.37
TX,48005,1383788,Angelina County,2066245670,173333993,797.782,66.925
TX,48007,1383789,Aransas County,652804638,714591509,252.049,275.905
TX,48009,1383790,Archer County,2339507619,57768335,903.289,22.304
TX,48011,1383791,Armstrong County,2354581675,12219583,909.109,4.718
TX,48013,1383792,Atascosa County,3158596637,4995711,1219.541,1.929
TX,48015,1383793,Austin County,1674405805,25606290,646.492,9.887
TX,48017,1383794,Bailey County,2141847188,1775275,826.972,0.685
TX,48019,1383795,Bandera County,2048666855,17288356,790.995,6.675
TX,48021,1383796,Bastrop County,2300370292,19079348,888.178,7.367
TX,48023,1383797,Baylor County,2246764578,86991034,867.481,33.587
TX,48025,1383798,Bee County,2279809496,246409,880.239,0.095
TX,48027,1383799,Bell County,2722825522,94658021,1051.289,36.548
TX,48029,1383800,Bexar County,3212140683,41079712,1240.215,15.861
TX,48031,1383801,Blanco County,1836948539,10818163,709.25,4.177
TX,48033,1383802,Borden County,2324366073,22297606,897.443,8.609
TX,48035,1383803,Bosque County,2545908079,50666115,982.981,19.562
TX,48037,1383804,Bowie County,2292143504,98330188,885.002,37.965
TX,48039,1383805,Brazoria County,3528352491,637937977,1362.305,246.309
TX,48041,1383806,Brazos County,1516472390,14829823,585.513,5.726
TX,48043,1383807,Brewster County,16015869871,22063885,6183.762,8.519
TX,48045,1383808,Briscoe County,2330991073,4068657,900.001,1.571
TX,48047,1383809,Brooks County,2443277013,741627,943.355,0.286
TX,48049,1383810,Brown County,2446120250,32375524,944.452,12.5
TX,48051,1383811,Burleson County,1706888864,46046458,659.034,17.779
TX,48053,1383812,Burnet County,2575134223,69922923,994.265,26.997
TX,48055,1383813,Caldwell County,1412150551,4973307,545.234,1.92
TX,48057,1383814,Calhoun County,1312707008,1361884769,506.839,525.827
TX,48059,1383815,Callahan County,2329363242,4898783,899.372,1.891
TX,48061,1383816,Cameron County,2307806796,998119379,891.049,385.376
TX,48063,1383817,Camp County,507240881,19130860,195.847,7.386
TX,48065,1383818,Carson County,2383397225,10026604,920.235,3.871
TX,48067,1383819,Cass County,2426706492,60517775,936.957,23.366
TX,48069,1383820,Castro County,2316600393,12557414,894.444,4.848
TX,48071,1383821,Chambers County,1546618334,709745140,597.153,274.034
TX,48073,1383822,Cherokee County,2727141729,23873001,1052.955,9.217
TX,48075,1383823,Childress County,1803954628,44560655,696.511,17.205
TX,48077,1383824,Clay County,2819870070,72508632,1088.758,27.996
TX,48079,1383825,Cochran County,2007453829,229068,775.082,0.088
TX,48081,1383826,Coke County,2361124368,42360663,911.635,16.356
TX,48083,1383827,Coleman County,3270933224,47963343,1262.914,18.519
TX,48085,1383828,Collin County,2178894500,116215462,841.276,44.871
TX,48087,1383829,Collingsworth County,2378749928,2279194,918.441,0.88
TX,48089,1383830,Colorado County,2487123834,34710042,960.284,13.402
TX,48091,1383831,Comal County,1449129706,39797957,559.512,15.366
TX,48093,1383832,Comanche County,2428768917,25719485,937.753,9.93
TX,48095,1383833,Concho County,2547914009,25740025,983.755,9.938
TX,48097,1383834,Cooke County,2265746282,61362926,874.81,23.692
TX,48099,1383835,Coryell County,2725181907,11798688,1052.199,4.555
TX,48101,1383836,Cottle County,2332448738,2723997,900.564,1.052
TX,48103,1383837,Crane County,2033319700,1695980,785.069,0.655
TX,48105,1383838,Crockett County,7270935062,53329,2807.324,0.021
TX,48107,1383839,Crosby County,2331503433,3873557,900.199,1.496
TX,48109,1383840,Culberson County,9873439558,556134,3812.156,0.215
TX,48111,1383841,Dallam County,3893095082,5180577,1503.132,2
TX,48113,1383842,Dallas County,2258614866,94698972,872.056,36.563
TX,48115,1383843,Dawson County,2331781560,4720730,900.306,1.823
TX,48117,1383845,Deaf Smith County,3876750541,3926557,1496.822,1.516
TX,48119,1383846,Delta County,665192127,54648178,256.832,21.1
TX,48121,1383847,Denton County,2275564887,192448040,878.601,74.305
TX,48123,1383844,DeWitt County,2354237927,3919919,908.976,1.513
TX,48125,1383848,Dickens County,2335454676,9057848,901.724,3.497
TX,48127,1383849,Dimmit County,3441795368,14576536,1328.885,5.628
TX,48129,1383850,Donley County,2400676101,15901857,926.906,6.14
TX,48131,1383851,Duval County,4645083897,5478267,1793.477,2.115
TX,48133,1383852,Eastland County,2399637922,14009171,926.505,5.409
TX,48135,1383853,Ector County,2325320265,10377149,897.811,4.007
TX,48137,1383854,Edwards County,5485259733,5199798,2117.871,2.008
TX,48139,1383856,Ellis County,2423349113,41666088,935.66,16.087
TX,48141,1383855,El Paso County,2624139561,5451095,1013.186,2.105
TX,48143,1383857,Erath County,2805417369,17169065,1083.178,6.629
TX,48145,1383858,Falls County,1982545004,21693802,765.465,8.376
TX,48147,1383859,Fannin County,2307250914,20847064,890.835,8.049
TX,48149,1383860,Fayette County,2460152118,25739448,949.87,9.938
TX,48151,1383861,Fisher County,2328272101,7258480,898.951,2.803
TX,48153,1383862,Floyd County,2569637284,983737,992.143,0.38
TX,48155,1383863,Foard County,1824378631,8514741,704.397,3.288
TX,48157,1383864,Fort Bend County,2231486504,61532084,861.582,23.758
TX,48159,1383865,Franklin County,736570305,26874741,284.391,10.376
TX,48161,1383866,Freestone County,2273311881,36936952,877.731,14.261
TX,48163,1383867,Frio County,2935753507,2193622,1133.501,0.847
TX,48165,1383868,Gaines County,3891105257,1262946,1502.364,0.488
TX,48167,1383869,Galveston County,981441986,1281681977,378.937,494.86
TX,48169,1383870,Garza County,2313930833,7215531,893.414,2.786
TX,48171,1383871,Gillespie County,2740719114,9012764,1058.198,3.48
TX,48173,1383872,Glasscock County,2331552975,2245302,900.218,0.867
TX,48175,1383873,Goliad County,2206698607,19050015,852.011,7.355
TX,48177,1383874,Gonzales County,2762704863,8204087,1066.686,3.168
TX,48179,1383875,Gray County,2398261664,8700790,925.974,3.359
TX,48181,1383876,Grayson County,2416020062,120088329,932.831,46.366
TX,48183,1383877,Gregg County,708052198,6206414,273.38,2.396
TX,48185,1383878,Grimes County,2039530033,36607095,787.467,14.134
TX,48187,1383879,Guadalupe County,1842135335,9163422,711.252,3.538
TX,48189,1383880,Hale County,2602109438,246678,1004.68,0.095
TX,48191,1383881,Hall County,2288233616,53366403,883.492,20.605
TX,48193,1383882,Hamilton County,2165008734,1238628,835.915,0.478
TX,48195,1383883,Hansford County,2382296648,1548341,919.81,0.598
TX,48197,1383884,Hardeman County,1800337391,4548860,695.114,1.756
TX,48199,1383885,Hardin County,2306610690,18039522,890.587,6.965
TX,48201,1383886,Harris County,4416454882,187141456,1705.203,72.256
TX,48203,1383887,Harrison County,2330874187,40916169,899.956,15.798
TX,48205,1383888,Hartley County,3786435510,3023183,1461.951,1.167
TX,48207,1383889,Haskell County,2339103809,18465208,903.133,7.129
TX,48209,1383890,Hays County,1755978790,5037743,677.987,1.945
TX,48211,1383891,Hemphill County,2347270019,15205586,906.286,5.871
TX,48213,1383892,Henderson County,2263061592,193211786,873.773,74.599
TX,48215,1383893,Hidalgo County,4068610451,31102593,1570.899,12.009
TX,48217,1383894,Hill County,2483423943,69547481,958.855,26.852
TX,48219,1383895,Hockley County,2352723904,446119,908.392,0.172
TX,48221,1383896,Hood County,1089617912,41788074,420.704,16.134
TX,48223,1383897,Hopkins County,1987276095,65992861,767.292,25.48
TX,48225,1383898,Houston County,3188288232,14426022,1231.005,5.57
TX,48227,1383899,Howard County,2333039137,8841783,900.791,3.414
TX,48229,1383900,Hudspeth County,11837605503,2189943,4570.525,0.846
TX,48231,1383901,Hunt County,2176470568,107957791,840.34,41.683
TX,48233,1383902,Hutchinson County,2298408152,19507502,887.42,7.532
TX,48235,1383903,Irion County,2723485996,176317,1051.544,0.068
TX,48237,1383904,Jack County,2359323246,23787056,910.94,9.184
TX,48239,1383905,Jackson County,2148246713,71039573,829.443,27.429
TX,48241,1383906,Jasper County,2431105370,80399908,938.655,31.043
TX,48243,1383907,Jeff Davis County,5865172230,206206,2264.556,0.08
TX,48245,1383908,Jefferson County,2269793029,611960874,876.372,236.279
TX,48247,1383909,Jim Hogg County,2942674729,92565,1136.173,0.036
TX,48249,1383910,Jim Wells County,2240779987,8739522,865.17,3.374
TX,48251,1383911,Johnson County,1877223473,25002931,724.8,9.654
TX,48253,1383912,Jones County,2404985708,22188417,928.57,8.567
TX,48255,1383913,Karnes County,1936008329,15671661,747.497,6.051
TX,48257,1383914,Kaufman County,2021939947,69763128,780.675,26.936
TX,48259,1383915,Kendall County,1715747625,1496797,662.454,0.578
TX,48261,1383916,Kenedy County,3777375654,1262209502,1458.453,487.342
TX,48263,1383917,Kent County,2337482036,1065195,902.507,0.411
TX,48265,1383918,Kerr County,2857601859,10247474,1103.326,3.957
TX,48267,1383919,Kimble County,3240035980,493584,1250.985,0.191
TX,48269,1383920,King County,2359148814,6398044,910.872,2.47
TX,48271,1383921,Kinney County,3522525630,13124946,1360.055,5.068
TX,48273,1383922,Kleberg County,2282572438,541041664,881.306,208.897
TX,48275,1383923,Knox County,2203109026,12577260,850.625,4.856
TX,48277,1383925,Lamar County,2349588921,67136454,907.181,25.922
TX,48279,1383926,Lamb County,2631897582,3973764,1016.181,1.534
TX,48281,1383927,Lampasas County,1846250642,2833490,712.841,1.094
TX,48283,1383924,La Salle County,3850545736,19503739,1486.704,7.53
TX,48285,1383928,Lavaca County,2511535251,1882216,969.709,0.727
TX,48287,1383929,Lee County,1629205077,13106451,629.04,5.06
TX,48289,1383930,Leon County,2779462025,19328383,1073.156,7.463
TX,48291,1383931,Liberty County,3000204407,46518024,1158.385,17.961
TX,48293,1383932,Limestone County,2345053182,71830221,905.43,27.734
TX,48295,1383933,Lipscomb County,2414350766,298741,932.186,0.115
TX,48297,1383934,Live Oak County,2692796898,101483818,1039.695,39.183
TX,48299,1383935,Llano County,2419183490,82373066,934.052,31.804
TX,48301,1383936,Loving County,1732230057,19981167,668.818,7.715
TX,48303,1383937,Lubbock County,2319602816,13205758,895.604,5.099
TX,48305,1383938,Lynn County,2309924850,4169718,891.867,1.61
TX,48307,1383945,McCulloch County,2759893537,20286189,1065.601,7.833
TX,48309,1383946,McLennan County,2686132776,59883890,1037.122,23.121
TX,48311,1383947,McMullen County,2952065878,43985814,1139.799,16.983
TX,48313,1383939,Madison County,1207103453,16493254,466.065,6.368
TX,48315,1383940,Marion County,986485103,102144713,380.884,39.438
TX,48317,1383941,Martin County,2369724590,1931832,914.956,0.746
TX,48319,1383942,Mason County,2405674101,8755301,928.836,3.38
TX,48321,1383943,Matagorda County,2830586734,1345801267,1092.896,519.617
TX,48323,1383944,Maverick County,3313817728,31871315,1279.472,12.306
TX,48325,1383948,Medina County,3432663420,23762580,1325.359,9.175
TX,48327,1383949,Menard County,2336237985,613559,902.027,0.237
TX,48329,1383950,Midland County,2331647563,4520751,900.254,1.745
TX,48331,1383951,Milam County,2633798227,12758772,1016.915,4.926
TX,48333,1383952,Mills County,1937867068,4022957,748.215,1.553
TX,48335,1383953,Mitchell County,2359710929,12489775,911.09,4.822
TX,48337,1383954,Montague County,2411034605,19087361,930.906,7.37
TX,48339,1383955,Montgomery County,2700380211,88754575,1042.623,34.268
TX,48341,1383956,Moore County,2330207187,25699789,899.698,9.923
TX,48343,1383957,Morris County,652649200,17382278,251.989,6.711
TX,48345,1383958,Motley County,2562963901,644140,989.566,0.249
TX,48347,1383959,Nacogdoches County,2451572357,89731150,946.557,34.645
TX,48349,1383960,Navarro County,2614935410,197626092,1009.632,76.304
TX,48351,1383961,Newton County,2418212542,15672146,933.677,6.051
TX,48353,1383962,Nolan County,2362061743,5052159,911.997,1.951
TX,48355,1383963,Nueces County,2171227881,847257833,838.316,327.128
TX,48357,1383964,Ochiltree County,2376792056,1331778,917.685,0.514
TX,48359,1383965,Oldham County,3886337113,2339716,1500.523,0.903
TX,48361,1383966,Orange County,864489137,118488361,333.781,45.749
TX,48363,1383967,Palo Pinto County,2467090684,85364144,952.549,32.959
TX,48365,1383968,Panola County,2101400911,25810622,811.355,9.966
TX,48367,1383969,Parker County,2340006541,17127586,903.482,6.613
TX,48369,1383970,Parmer County,2281312144,11355762,880.82,4.384
TX,48371,1383971,Pecos County,12338274958,2532275,4763.835,0.978
TX,48373,1383972,Polk County,2737732841,136271618,1057.045,52.615
TX,48375,1383973,Potter County,2352718728,35190087,908.39,13.587
TX,48377,1383974,Presidio County,9985057438,1773188,3855.252,0.685
TX,48379,1383975,Rains County,594280569,76080003,229.453,29.375
TX,48381,1383976,Randall County,2361876733,27235708,911.926,10.516
TX,48383,1383977,Reagan County,3044049119,1792716,1175.314,0.692
TX,48385,1383978,Real County,1810812871,2346260,699.159,0.906
TX,48387,1383979,Red River County,2703626782,33305606,1043.876,12.859
TX,48389,1383980,Reeves County,6825534331,17396672,2635.354,6.717
TX,48391,1383981,Refugio County,1995545559,123687613,770.484,47.756
TX,48393,1383982,Roberts County,2393298464,346846,924.058,0.134
TX,48395,1383983,Robertson County,2214719307,26358041,855.108,10.177
TX,48397,1383984,Rockwall County,329213365,56068892,127.11,21.648
TX,48399,1383985,Runnels County,2722259321,15604788,1051.07,6.025
TX,48401,1383986,Rusk County,2393244484,37217198,924.037,14.37
TX,48403,1383987,Sabine County,1273503789,219955687,491.703,84.925
TX,48405,1383988,San Augustine County,1374395182,159644688,530.657,61.639
TX,48407,1383989,San Jacinto County,1474332260,151949235,569.243,58.668
