county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Clara,151,6,151,6,2020-03-18
Santa Clara,183,8,32,2,2020-03-19
Santa Clara,246,8,63,0,2020-03-20
Santa Clara,269,10,23,2,2020-03-21
Santa Clara,284,13,15,3,2020-03-22
Santa Clara,336,13,52,0,2020-03-23
Santa Clara,389,17,53,4,2020-03-24
Santa Clara,452,20,63,3,2020-03-25
Santa Clara,487,20,35,0,2020-03-26
Santa Clara,557,25,70,5,2020-03-27
Santa Clara,587,27,30,2,2020-03-28
Santa Clara,591,30,4,3,2020-03-29
Santa Clara,745,31,154,1,2020-03-30
Santa Clara,777,30,32,-1,2020-03-31
Santa Clara,805,33,28,3,2020-04-01
Santa Clara,908,38,103,5,2020-04-02
Santa Clara,983,39,75,1,2020-04-03
Santa Clara,1045,39,62,0,2020-04-04
Santa Clara,1052,42,7,3,2020-04-05
Santa Clara,1128,43,76,1,2020-04-06
Santa Clara,1193,46,65,3,2020-04-07
Santa Clara,1257,47,64,1,2020-04-08
Santa Clara,1301,49,44,2,2020-04-09
Santa Clara,1351,52,50,3,2020-04-10
Santa Clara,1441,52,90,0,2020-04-11
Santa Clara,1461,53,20,1,2020-04-12
Santa Clara,1542,60,81,7,2020-04-13
Santa Clara,1561,66,19,6,2020-04-14
Santa Clara,1692,66,131,0,2020-04-15
Santa Clara,1789,69,97,3,2020-04-16
Santa Clara,1834,73,45,4,2020-04-17
Santa Clara,1862,73,28,0,2020-04-18
Santa Clara,1878,79,16,6,2020-04-19
Santa Clara,1920,83,42,4,2020-04-20
Santa Clara,1943,88,23,5,2020-04-21
Santa Clara,1969,94,26,6,2020-04-22
Santa Clara,1996,95,27,1,2020-04-23
Santa Clara,2026,98,30,3,2020-04-24
Santa Clara,2045,99,19,1,2020-04-25
Santa Clara,2097,102,52,3,2020-04-26
Santa Clara,2104,105,7,3,2020-04-27
Santa Clara,2130,106,26,1,2020-04-28
Santa Clara,2147,108,17,2,2020-04-29
Santa Clara,2172,111,25,3,2020-04-30
Santa Clara,2176,113,4,2,2020-05-01
Santa Clara,2203,115,27,2,2020-05-02
Santa Clara,2235,116,32,1,2020-05-03
Santa Clara,2238,119,3,3,2020-05-04
Santa Clara,2249,123,11,4,2020-05-05
Santa Clara,2270,126,21,3,2020-05-06
Santa Clara,2281,127,11,1,2020-05-07
Santa Clara,2285,130,4,3,2020-05-08
Santa Clara,2317,130,32,0,2020-05-09
Santa Clara,2331,130,14,0,2020-05-10
Santa Clara,2340,133,9,3,2020-05-11
Santa Clara,2362,133,22,0,2020-05-12
Santa Clara,2370,135,8,2,2020-05-13
Santa Clara,2380,135,10,0,2020-05-14
Santa Clara,2395,136,15,1,2020-05-15
Santa Clara,2420,136,25,0,2020-05-16
Santa Clara,2453,136,33,0,2020-05-17
Santa Clara,2468,136,15,0,2020-05-18
Santa Clara,2480,139,12,3,2020-05-19
Santa Clara,2508,139,28,0,2020-05-20
Santa Clara,2520,139,12,0,2020-05-21
Santa Clara,2537,139,17,0,2020-05-22
Santa Clara,2593,139,56,0,2020-05-23
Santa Clara,2623,139,30,0,2020-05-24
Santa Clara,2647,140,24,1,2020-05-25
Santa Clara,2659,140,12,0,2020-05-26
Santa Clara,2680,141,21,1,2020-05-27
Santa Clara,2698,141,18,0,2020-05-28
Santa Clara,2707,141,9,0,2020-05-29
Santa Clara,2741,141,34,0,2020-05-30
