County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alameda County,California,6001,6.7,5.5,7.8
Alpine County,California,6003,4.6,1.7,11.2
Amador County,California,6005,14.2,7.8,24.5
Butte County,California,6007,9.3,6.5,12.5
Calaveras County,California,6009,7.4,3.5,13.5
Colusa County,California,6011,14.7,7.5,25.8
Contra Costa County,California,6013,7.5,6.2,9
Del Norte County,California,6015,15.8,7.2,29.4
El Dorado County,California,6017,5.9,4,8.1
Fresno County,California,6019,9.6,7.7,11.6
Glenn County,California,6021,10.1,4.9,18.5
Humboldt County,California,6023,8.8,6.1,12.3
Imperial County,California,6025,8.9,5.6,12.6
Inyo County,California,6027,9,4.6,17.1
Kern County,California,6029,9.9,8,12.2
Kings County,California,6031,13.5,8.5,20.4
Lake County,California,6033,7.9,4.6,13.8
Lassen County,California,6035,14.5,6.6,29
Los Angeles County,California,6037,8.4,7.8,9.1
Madera County,California,6039,11.5,7.6,16.6
Marin County,California,6041,6.3,4.1,9.1
Mariposa County,California,6043,5.3,2.5,9.9
Mendocino County,California,6045,8.4,5.4,13.2
Merced County,California,6047,13,9.3,17.5
Modoc County,California,6049,8.3,3.8,17.8
Mono County,California,6051,10,3.2,27.7
Monterey County,California,6053,8.7,6.4,11.6
Napa County,California,6055,8.2,5.3,12.3
Nevada County,California,6057,3.5,2,5.8
Orange County,California,6059,7.8,6.9,9
Placer County,California,6061,5.4,3.9,7.3
Plumas County,California,6063,4.6,2.5,7.6
Riverside County,California,6065,9,7.7,10.3
Sacramento County,California,6067,8.8,7.6,10
San Benito County,California,6069,9.1,4.9,16.6
San Bernardino County,California,6071,10.3,9,11.8
San Diego County,California,6073,7.3,6.4,8.2
San Francisco County,California,6075,6,4.5,7.7
San Joaquin County,California,6077,9.8,7.8,12.1
San Luis Obispo County,California,6079,7.7,5.4,10.3
San Mateo County,California,6081,7.1,5.6,9
Santa Barbara County,California,6083,7.5,5.5,9.8
Santa Clara County,California,6085,8.1,6.9,9.4
Santa Cruz County,California,6087,5.5,3.7,7.8
Shasta County,California,6089,10.5,7.1,14.5
Sierra County,California,6091,4.2,1.6,11.3
Siskiyou County,California,6093,7.4,3.5,13.2
Solano County,California,6095,8.3,5.9,10.9
Sonoma County,California,6097,6.8,5.3,8.6
Stanislaus County,California,6099,9.7,7.6,12.2
Sutter County,California,6101,12.1,7.6,17.8
Tehama County,California,6103,8.9,5.5,13.4
Trinity County,California,6105,6.5,3.1,12.8
Tulare County,California,6107,10.9,8.1,14
Tuolumne County,California,6109,5.6,2.9,10.2
Ventura County,California,6111,7.7,6.1,9.5
Yolo County,California,6113,8,5.7,10.8
Yuba County,California,6115,12.6,8.2,18
