County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alachua County,Florida,12001,9.6,8.2,11.3
Baker County,Florida,12003,13.6,11,16.3
Bay County,Florida,12005,10.5,9.1,12
Bradford County,Florida,12007,11.2,9.4,13.1
Brevard County,Florida,12009,10.1,8.6,11.8
Broward County,Florida,12011,7.9,6.7,9.2
Calhoun County,Florida,12013,14.6,12.5,17.1
Charlotte County,Florida,12015,8,6.7,9.4
Citrus County,Florida,12017,8.8,7.2,10.6
Clay County,Florida,12019,10.4,8.7,12.2
Collier County,Florida,12021,6.5,5.3,7.8
Columbia County,Florida,12023,12.8,11.2,14.5
DeSoto County,Florida,12027,12.3,10.3,14.5
Dixie County,Florida,12029,11.2,9.5,13.1
Duval County,Florida,12031,12.3,11.1,13.6
Escambia County,Florida,12033,11.7,9.9,13.4
Flagler County,Florida,12035,8.8,7.3,10.6
Franklin County,Florida,12037,9.2,7.5,10.9
Gadsden County,Florida,12039,18,15.6,20.7
Gilchrist County,Florida,12041,12.8,10.1,16.4
Glades County,Florida,12043,18.4,14,23.6
Gulf County,Florida,12045,11.4,9.4,13.6
Hamilton County,Florida,12047,13.4,11.5,15.5
Hardee County,Florida,12049,15,12.3,18
Hendry County,Florida,12051,12.3,10,14.8
Hernando County,Florida,12053,11.5,9.7,13.6
Highlands County,Florida,12055,10.6,9,12.3
Hillsborough County,Florida,12057,9.9,8.5,11.3
Holmes County,Florida,12059,12.2,10.2,14.5
Indian River County,Florida,12061,7.6,6.1,9.4
Jackson County,Florida,12063,13.9,12.3,15.8
Jefferson County,Florida,12065,11.5,9.2,14.2
Lafayette County,Florida,12067,13.5,10.8,16.6
Lake County,Florida,12069,9.9,8.4,11.5
Lee County,Florida,12071,7.9,6.6,9.3
Leon County,Florida,12073,8.4,7.2,9.7
Levy County,Florida,12075,12.3,10.5,14.5
Liberty County,Florida,12077,12.2,9.8,15
Madison County,Florida,12079,13.8,11.9,15.8
Manatee County,Florida,12081,8.1,6.8,9.8
Marion County,Florida,12083,12,10.4,13.8
Martin County,Florida,12085,7.3,5.7,9.2
Miami-Dade County,Florida,12086,6.8,5.7,8
Monroe County,Florida,12087,5.4,4.3,6.7
Nassau County,Florida,12089,8.3,6.9,10
Okaloosa County,Florida,12091,10.5,8.8,12
Okeechobee County,Florida,12093,12.4,10.3,14.6
Orange County,Florida,12095,8.9,7.7,10.2
Osceola County,Florida,12097,11.6,9.7,13.6
Palm Beach County,Florida,12099,8.6,7.3,10.1
Pasco County,Florida,12101,10.1,8.5,11.9
Pinellas County,Florida,12103,7.6,6.4,8.8
Polk County,Florida,12105,11.2,9.7,12.8
Putnam County,Florida,12107,14.6,12.2,17.1
Santa Rosa County,Florida,12113,10.2,8.5,11.8
Sarasota County,Florida,12115,6.1,5,7.3
Seminole County,Florida,12117,9.1,7.6,10.7
St. Johns County,Florida,12109,6.3,5.2,7.5
St. Lucie County,Florida,12111,9.6,8.1,11.4
Sumter County,Florida,12119,10.3,8,13.6
Suwannee County,Florida,12121,12,10.3,14.2
Taylor County,Florida,12123,11.8,10.3,13.6
Union County,Florida,12125,13,10.8,15.7
Volusia County,Florida,12127,10,8.7,11.6
Wakulla County,Florida,12129,8.3,6.6,10.4
Walton County,Florida,12131,10.6,8.8,12.8
Washington County,Florida,12133,12.5,10.7,14.6
