County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Albany County,New York,36001,8.8,7.5,10.2
Allegany County,New York,36003,9.3,7.8,11.2
Bronx County,New York,36005,12.4,11.1,13.8
Broome County,New York,36007,8.9,7.5,10.4
Cattaraugus County,New York,36009,11.8,10.2,13.5
Cayuga County,New York,36011,9.7,8,11.4
Chautauqua County,New York,36013,10.5,9,12
Chemung County,New York,36015,10.6,8.9,12.6
Chenango County,New York,36017,11,9.2,13.1
Clinton County,New York,36019,10,8.6,11.6
Columbia County,New York,36021,7.3,5.9,9
Cortland County,New York,36023,10.5,8.7,12.9
Delaware County,New York,36025,7.6,6.2,9.3
Dutchess County,New York,36027,8.1,6.9,9.6
Erie County,New York,36029,9.7,8.5,10.9
Essex County,New York,36031,8.6,6.9,10.7
Franklin County,New York,36033,12,10.3,14.2
Fulton County,New York,36035,11.8,10.1,13.8
Genesee County,New York,36037,11.1,9.3,13.1
Greene County,New York,36039,8.9,7.3,10.8
Hamilton County,New York,36041,8.9,7,11.5
Herkimer County,New York,36043,9,7.6,10.7
Jefferson County,New York,36045,10.9,9.4,12.6
Kings County,New York,36047,9.5,8.7,10.3
Lewis County,New York,36049,12,9.8,15.1
Livingston County,New York,36051,11.1,9.1,13.4
Madison County,New York,36053,9,7.3,10.9
Monroe County,New York,36055,8.1,6.9,9.2
Montgomery County,New York,36057,10.4,8.6,12.6
Nassau County,New York,36059,7,6.1,8
New York County,New York,36061,6.6,5.9,7.4
Niagara County,New York,36063,11.8,9.9,13.8
Oneida County,New York,36065,12.2,10.4,14
Onondaga County,New York,36067,10,8.8,11.3
Ontario County,New York,36069,8.7,7.2,10.6
Orange County,New York,36071,8.3,7.1,9.6
Orleans County,New York,36073,13.5,11.2,16.1
Oswego County,New York,36075,9.5,7.9,11.6
Otsego County,New York,36077,7.6,6.3,9.1
Putnam County,New York,36079,5.6,4.4,7
Queens County,New York,36081,10.2,9.3,11.1
Rensselaer County,New York,36083,8.8,7.3,10.5
Richmond County,New York,36085,9.8,8.4,11.4
Rockland County,New York,36087,7.4,6.1,8.7
Saratoga County,New York,36091,7.6,6.5,8.7
Schenectady County,New York,36093,10.2,8.5,12.1
Schoharie County,New York,36095,9.7,7.9,11.8
Schuyler County,New York,36097,9,7.6,10.7
Seneca County,New York,36099,11.2,9.4,13.5
St. Lawrence County,New York,36089,10.2,8.7,11.8
Steuben County,New York,36101,11.3,9.4,13.3
Suffolk County,New York,36103,7.7,6.8,8.7
Sullivan County,New York,36105,9.6,8.1,11.1
Tioga County,New York,36107,9.6,7.8,11.6
Tompkins County,New York,36109,6.5,5.4,7.9
Ulster County,New York,36111,7.9,6.5,9.5
Warren County,New York,36113,7.5,6.2,8.9
Washington County,New York,36115,11.7,9.9,13.8
Wayne County,New York,36117,11,9.2,12.8
Westchester County,New York,36119,6.7,5.8,7.6
Wyoming County,New York,36121,10,8.4,12.1
Yates County,New York,36123,11.3,9.5,13.6
