County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Anderson County,Texas,48001,37.3,28.1,47.5
Andrews County,Texas,48003,31.3,20,44.2
Angelina County,Texas,48005,39.6,35.6,43.6
Aransas County,Texas,48007,37.7,26.6,49.8
Archer County,Texas,48009,28.3,18.9,39.4
Armstrong County,Texas,48011,23,13.1,38
Atascosa County,Texas,48013,40,29.6,51.9
Austin County,Texas,48015,32,23.2,42
Bailey County,Texas,48017,26.3,15.8,38.8
Bandera County,Texas,48019,29.1,19.6,40.5
Bastrop County,Texas,48021,41.3,34.4,48.3
Baylor County,Texas,48023,27,16.7,39.9
Bee County,Texas,48025,33.7,21.5,47
Bell County,Texas,48027,32.6,26.9,38.2
Bexar County,Texas,48029,29.7,26.6,33.1
Blanco County,Texas,48031,22.6,13.8,33.5
Borden County,Texas,48033,24.5,14.6,36.2
Bosque County,Texas,48035,26.3,15.5,39.2
Bowie County,Texas,48037,45.6,34.2,57.2
Brazoria County,Texas,48039,31.7,25.6,38.7
Brazos County,Texas,48041,31.2,28.3,34.2
Brewster County,Texas,48043,26.2,15.5,38.9
Briscoe County,Texas,48045,26.7,15.3,39.8
Brooks County,Texas,48047,35,22.4,48.6
Brown County,Texas,48049,37.1,26.4,48.4
Burleson County,Texas,48051,46.2,33.7,60.2
Burnet County,Texas,48053,33.6,24.7,43.8
Caldwell County,Texas,48055,39,30.4,48.3
Calhoun County,Texas,48057,32,20.9,44.4
Callahan County,Texas,48059,38.7,26.9,49.5
Cameron County,Texas,48061,31.2,25.2,37.8
Camp County,Texas,48063,21.8,12.3,34.9
Carson County,Texas,48065,26.9,16.3,40.1
Cass County,Texas,48067,44.9,29.6,59.7
Castro County,Texas,48069,28.5,18,41.8
Chambers County,Texas,48071,32.7,21.1,45.7
Cherokee County,Texas,48073,44.2,34.2,54.4
Childress County,Texas,48075,23.7,12.9,37.3
Clay County,Texas,48077,33.4,24.6,43.1
Cochran County,Texas,48079,27.5,15.3,40.9
Coke County,Texas,48081,27.9,17.7,42.1
Coleman County,Texas,48083,22.2,13.2,34.3
Collin County,Texas,48085,25.1,21.4,29.4
Collingsworth County,Texas,48087,26.1,14.5,39.9
Colorado County,Texas,48089,24.7,15.2,36
Comal County,Texas,48091,29.5,22.8,36.8
Comanche County,Texas,48093,24.9,14.9,37.8
Concho County,Texas,48095,19.6,10.1,32.5
Cooke County,Texas,48097,24.5,14.1,36.1
Coryell County,Texas,48099,31.2,21.2,42.7
Cottle County,Texas,48101,20.2,11.5,34.4
Crane County,Texas,48103,20.4,11.1,32.2
Crockett County,Texas,48105,30,19.2,42.4
Crosby County,Texas,48107,25.9,14.6,39.5
Culberson County,Texas,48109,32,20.1,46
Dallam County,Texas,48111,27.5,17.9,39.6
Dallas County,Texas,48113,30.5,27.8,33.5
Dawson County,Texas,48115,27.9,15.2,42.9
Deaf Smith County,Texas,48117,26.1,15.9,38.9
Delta County,Texas,48119,29.2,17.1,43.8
Denton County,Texas,48121,31.7,26.8,36.9
DeWitt County,Texas,48123,25.5,14.9,39.3
Dickens County,Texas,48125,18,8.2,29.9
Dimmit County,Texas,48127,26.5,15.7,39.5
Donley County,Texas,48129,30.7,18.6,44
Duval County,Texas,48131,26,14.5,41
Eastland County,Texas,48133,29,19.2,39.7
Ector County,Texas,48135,37.2,29.4,45.6
Edwards County,Texas,48137,22.9,12.9,36.4
El Paso County,Texas,48141,31.5,26.9,36.3
Ellis County,Texas,48139,38,34.5,41.5
Erath County,Texas,48143,34,24.4,47.7
Falls County,Texas,48145,29,15.2,46.8
Fannin County,Texas,48147,32,19.6,44.7
Fayette County,Texas,48149,24,15.1,35.1
Fisher County,Texas,48151,22.9,12.5,36.2
Floyd County,Texas,48153,31,19.4,44.7
Foard County,Texas,48155,28.8,16.6,43.7
Fort Bend County,Texas,48157,25.4,20.4,31.1
Franklin County,Texas,48159,30.5,18.1,44.7
Freestone County,Texas,48161,39,26.5,52.7
Frio County,Texas,48163,29.4,17.2,44.4
Gaines County,Texas,48165,34.6,22.8,47
Galveston County,Texas,48167,34.4,31.6,37.7
Garza County,Texas,48169,19.1,10,31.3
Gillespie County,Texas,48171,24.4,15.3,36.1
Glasscock County,Texas,48173,26.3,14.7,40.6
Goliad County,Texas,48175,31.1,19.9,43.5
Gonzales County,Texas,48177,32.8,20.5,47.5
Gray County,Texas,48179,35.8,24.3,49.9
Grayson County,Texas,48181,38.1,27.5,50
Gregg County,Texas,48183,34.3,24.1,45.3
Grimes County,Texas,48185,40.6,30.1,51.4
Guadalupe County,Texas,48187,33.3,25.9,41.3
Hale County,Texas,48189,31.5,20.5,44.8
Hall County,Texas,48191,25.9,13.9,39.9
Hamilton County,Texas,48193,25.7,15.3,37.9
Hansford County,Texas,48195,26.9,16,39.8
Hardeman County,Texas,48197,33.6,21.4,46.5
Hardin County,Texas,48199,37.1,28.4,47.1
Harris County,Texas,48201,29.9,27.5,32.1
Harrison County,Texas,48203,44.5,34.3,54.2
Hartley County,Texas,48205,28.7,16.7,42.5
Haskell County,Texas,48207,28.2,16.9,41.6
Hays County,Texas,48209,31.7,27.1,36.2
Hemphill County,Texas,48211,21.8,12.1,33.9
Henderson County,Texas,48213,36.5,28.9,44.4
Hidalgo County,Texas,48215,38.3,31.8,44.6
Hill County,Texas,48217,36.9,27,48.8
Hockley County,Texas,48219,29.2,19.1,40.8
Hood County,Texas,48221,33.1,23.8,43.2
Hopkins County,Texas,48223,32.1,21.1,44
Houston County,Texas,48225,28.4,20.3,37.6
Howard County,Texas,48227,35.4,24,48.5
Hudspeth County,Texas,48229,38.3,24.3,53.2
Hunt County,Texas,48231,38.3,27.8,48.7
Hutchinson County,Texas,48233,28.6,17.6,41.9
Irion County,Texas,48235,24.1,13.9,37.3
Jack County,Texas,48237,25.1,13.9,38.1
Jackson County,Texas,48239,33.2,21.6,46.8
Jasper County,Texas,48241,43.6,32,54.8
Jeff Davis County,Texas,48243,26,15.3,38.8
Jefferson County,Texas,48245,41.3,35.8,47.1
Jim Hogg County,Texas,48247,23.2,13.2,36.6
Jim Wells County,Texas,48249,33.9,22.5,47
Johnson County,Texas,48251,39.6,32.1,47.2
Jones County,Texas,48253,29.3,16.1,44.9
Karnes County,Texas,48255,26.9,15.2,40.3
Kaufman County,Texas,48257,39.3,28.3,49.8
Kendall County,Texas,48259,33.9,24.1,45
Kenedy County,Texas,48261,22,13,34.2
Kent County,Texas,48263,27.8,16.2,41.5
Kerr County,Texas,48265,24.1,14.5,35.2
Kimble County,Texas,48267,31.4,18.5,46.2
King County,Texas,48269,20,10.8,31.3
Kinney County,Texas,48271,22.9,12.8,37
Kleberg County,Texas,48273,32.8,22,45.2
Knox County,Texas,48275,26.2,15.1,38.7
La Salle County,Texas,48283,23.8,12,39
Lamar County,Texas,48277,34.3,29.5,39.9
Lamb County,Texas,48279,25.5,15.2,36.1
Lampasas County,Texas,48281,33.9,22.4,47
Lavaca County,Texas,48285,40.4,27.2,54
Lee County,Texas,48287,37.5,27.5,47.9
Leon County,Texas,48289,33.7,22.6,45.2
Liberty County,Texas,48291,37.4,26.8,49.6
Limestone County,Texas,48293,41.9,28.6,55.6
Lipscomb County,Texas,48295,29.1,16.3,44.3
Live Oak County,Texas,48297,23.6,13.1,35.9
Llano County,Texas,48299,26.3,15.6,38.3
Loving County,Texas,48301,29.4,17.9,42.9
Lubbock County,Texas,48303,31.5,25.5,37.6
Lynn County,Texas,48305,26.1,15.3,39.6
Madison County,Texas,48313,29.8,18.7,43.5
Marion County,Texas,48315,44.6,30.2,59.3
Martin County,Texas,48317,30.7,18.2,45.4
Mason County,Texas,48319,25.3,15.1,38.4
Matagorda County,Texas,48321,36.2,24.7,48.9
Maverick County,Texas,48323,30.7,20,42.2
McCulloch County,Texas,48307,31,19.1,45.2
McLennan County,Texas,48309,34.2,26.8,41.7
McMullen County,Texas,48311,24.1,12.9,38.5
Medina County,Texas,48325,37,26.9,48.6
Menard County,Texas,48327,29.1,18.6,41.8
Midland County,Texas,48329,34.5,27.3,41.8
Milam County,Texas,48331,40.6,30.6,52.8
Mills County,Texas,48333,28.2,17,42.1
Mitchell County,Texas,48335,20.2,10.4,33.3
Montague County,Texas,48337,34.2,25.1,43.6
Montgomery County,Texas,48339,29,24,34.6
Moore County,Texas,48341,27.7,16.2,40.7
Morris County,Texas,48343,33.3,20.2,48.5
Motley County,Texas,48345,24.6,14.4,36.8
Nacogdoches County,Texas,48347,35.3,30.9,39.5
Navarro County,Texas,48349,34.8,25.2,45
Newton County,Texas,48351,35.2,21.1,51.2
Nolan County,Texas,48353,27,15.9,40.6
Nueces County,Texas,48355,33.2,29,37.5
