,county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84,county
0,"Alameda County, California",23099.0,460.0,0.019914282003549937,613097,1643700,369061,523391,172329,5288,483067,13192,4977,72395,1643700,807171,836529,97506,96428,95792,93865,103705,271867,244557,224507,106455,93101,126820,60948,28149,37.4,737.3,0.067,1634128,1550217,1198843,497191,83911,572870,24255,21621,33723,33965,47322,76730,66253,104464,67134,97403,92574,122575,44283,72088,60135,1.9914282003549937,1.4053051043377744,37.299811401107256,2229.3503322935035,1,79599,81287,303869,171598,160886,142983,95852,1120309,1003720,550883,89097,1427783,215917,759163,575519,280869,0.22453063211048244,0.3184224615197421,0.1048421244752692,0.0032171320800632717,0.2938900042586847,0.008025795461458903,0.003027924803796313,0.04404392529050313,0.4910695382369045,0.5089304617630954,0.05932104398612885,0.05866520654620672,0.05827827462432316,0.057105919571698,0.06309241345744357,0.16539940378414553,0.14878444971710167,0.1365863600413701,0.06476546815112247,0.05664111455861776,0.07715519863722091,0.03707975908012411,0.017125387844497172,0.9486509012757874,0.05134909872421255,0.04233944874055196,0.03774154694782411,0.0588667586014279,0.059289193010630674,0.08260512856319932,0.13393963726499905,0.11565102030129,0.1823520170370241,0.117188891022396,0.17002635851065687,0.13894775428980394,0.14189432157382995,0.530432733429923,0.2995409080594201,0.28084207586363397,0.24959065756628904,0.05831477763582162,0.6815775384802579,0.6106467116870475,0.3351481413883312,0.05420514692462128,0.8686396544381578,0.13136034556184215,0.4618622619699458,0.35013627790959423,0.17087607227596274,Alameda
1,"Alpine County, California",3.0,0.0,0.0,371,1146,105,678,9,294,8,0,0,52,1146,612,534,39,58,79,114,72,91,140,83,68,109,192,66,35,44.3,738.34,0.046,1146,1028,551,605,118,299,11,20,22,32,37,51,27,51,26,22,64688,92738,29041,51250,31364,0.0,0.2617801047120419,32.37347294938918,1.5521304548040198,1,53,69,200,77,122,78,346,468,593,452,101,853,293,453,291,367,0.09162303664921466,0.5916230366492147,0.007853403141361256,0.25654450261780104,0.006980802792321117,0.0,0.0,0.045375218150087264,0.5340314136125655,0.4659685863874346,0.03403141361256545,0.0506108202443281,0.06893542757417102,0.09947643979057592,0.06282722513089005,0.07940663176265271,0.12216404886561955,0.07242582897033159,0.0593368237347295,0.0951134380453752,0.16753926701570682,0.05759162303664921,0.030541012216404886,0.8970331588132635,0.10296684118673648,0.03678929765886288,0.06688963210702341,0.07357859531772576,0.10702341137123746,0.12374581939799333,0.1705685618729097,0.0903010033444816,0.1705685618729097,0.08695652173913042,0.07357859531772576,0.17725752508361206,0.2307692307692308,0.6688963210702341,0.2575250836120401,0.4080267558528428,0.2608695652173913,0.3019197207678883,0.4083769633507853,0.5174520069808028,0.3944153577661431,0.0881326352530541,0.7443280977312391,0.2556719022687609,0.3952879581151833,0.25392670157068065,0.32024432809773123,Alpine
2,"Amador County, California",328.0,16.0,0.04878048780487805,12203,37829,5132,29763,749,270,466,69,10,1370,37829,20302,17527,1534,1540,1727,1978,1530,3744,4329,5105,3003,3387,6144,2555,1253,50.5,594.572,0.142,34174,32725,23231,17120,1449,14090,593,550,1479,1576,1713,2760,1948,2155,591,725,61198,78014,30100,51994,43642,4.878048780487805,0.8670596632213381,32.258320336249966,63.62391770887294,1,2622,3289,10619,2746,5911,4708,1719,8066,16382,17639,3808,27877,9952,12053,12437,12086,0.1356631155991435,0.7867773401358746,0.019799624626609214,0.007137381374078088,0.01231859155674218,0.0018239974622644003,0.00026434745829918843,0.03621560178698882,0.5366782098390124,0.4633217901609876,0.04055090010309551,0.040709508578075024,0.04565280604826984,0.052287927251579484,0.040445161119775835,0.09897168838721616,0.11443601469771868,0.13494937746173571,0.07938354172724629,0.08953448412593512,0.1624150783790214,0.06754077559544265,0.03312273652488831,0.95759934453093,0.042400655469070056,0.042086586231369766,0.039034776437189486,0.1049680624556423,0.11185237757274663,0.12157558552164655,0.1958836053938964,0.1382540809084457,0.15294535131298795,0.041944641589779987,0.051454932576295236,0.1860894251242016,0.2334279630943932,0.7536550745209368,0.194889992902768,0.4195173882185947,0.3341376863023421,0.0454413280816305,0.21322265986412545,0.4330540061857305,0.4662824816939385,0.10066351212033096,0.7369214095006477,0.26307859049935234,0.31861799148801184,0.3287689338867007,0.3194903381003992,Amador
3,"Butte County, California",3078.0,52.0,0.016894087069525658,68116,227075,36358,164390,3303,1738,9900,341,406,10639,227075,112513,114562,12523,13858,11572,15615,25617,28693,24065,25068,15004,14841,23163,11730,5326,37.1,1636.47,0.09300000000000001,224510,207949,135747,105345,16561,86797,6590,6413,10660,8764,12152,14353,9407,10558,4115,3785,48443,69621,27537,50252,40722,1.6894087069525658,1.3554992843774083,29.99713750963339,138.75903621820135,1,23663,20916,68339,14673,44579,23760,13124,62685,131943,78076,17056,186856,40219,107878,64137,49734,0.16011449961466476,0.7239458328746009,0.014545854893757568,0.0076538588572057685,0.04359793019927337,0.0015017064846416382,0.001787955521303534,0.04685236155455246,0.4954882747990752,0.5045117252009248,0.05514917978641418,0.0610282946163162,0.05096113618848398,0.0687658262688539,0.11281294726411978,0.12635913244522734,0.10597820103490037,0.11039524386216007,0.06607508532423208,0.0653572608169107,0.1020059451722999,0.05165694153913905,0.02345480568094242,0.92623491158523,0.07376508841476995,0.07592428309734207,0.07388504210975033,0.12281530467642893,0.10097123172459878,0.1400048388769197,0.16536285816330054,0.10837932186596312,0.12164014885307095,0.04740947267762712,0.043607497954998437,0.2726246298835213,0.2409760706015185,0.7873428805143035,0.16904962153069805,0.5136007004850398,0.2737421800292637,0.0577958824177034,0.2760541671253991,0.5810547176043157,0.3438335351756028,0.07511174722008147,0.8228823076076186,0.17711769239238134,0.4750765165694154,0.2824485302212925,0.21902014752834967,Butte
4,"Calaveras County, California",274.0,18.0,0.06569343065693431,10811,45235,5297,36905,299,374,568,126,52,1614,45235,22434,22801,1936,2398,1926,2319,2054,3929,4212,5878,3966,4403,7469,3517,1228,52.1,1020.0160000000001,0.07400000000000001,44842,42509,29289,22096,2333,17417,753,792,1681,1800,2475,2918,2241,2558,1375,824,58151,79782,32494,60251,42342,6.569343065693432,0.6057256549132308,23.89963523820052,44.34734357108124,1,3226,4275,12660,3933,7501,5159,2166,8330,18774,21716,4745,33021,12214,14562,14056,15389,0.11709959102464905,0.8158505581960871,0.006609925942301315,0.008267934121808334,0.012556648612799823,0.002785453741571792,0.0011495523377915331,0.03568033602299105,0.4959434066541395,0.5040565933458605,0.04279871780700785,0.05301204819277108,0.04257765004974025,0.05126561291035702,0.04540731734276556,0.08685752183044103,0.09311373936111418,0.12994362772189674,0.08767547253233116,0.0973361335249254,0.1651155079031723,0.0777495302310158,0.02714712059246159,0.947972882565452,0.05202711743454797,0.043233622323017744,0.04547281391743699,0.09651489923637824,0.10334730435781134,0.14210254349199058,0.1675374633978297,0.1286673939254751,0.14686800252626744,0.07894585749555033,0.047310099328242525,0.18522133547683292,0.2454498478498019,0.7268760406499397,0.2258138600218177,0.4306711833266349,0.2962048573233048,0.04788327622416271,0.1841494418039129,0.41503260749419696,0.4800707416823256,0.1048966508234774,0.7299878412733503,0.2700121587266497,0.3219188681330828,0.3107328396153421,0.3402011716591135,Calaveras
5,"Colusa County, California",548.0,6.0,0.010948905109489052,5629,21464,12655,7672,277,159,324,53,30,294,21464,11124,10340,1589,1708,1639,1538,1356,2878,2523,2641,1494,1132,1768,860,338,35.1,1150.713,0.147,21297,19094,11301,10046,2203,7113,252,363,890,735,984,1346,1073,781,398,291,56704,82313,27336,41323,32389,1.094890510948905,2.5531121878494223,26.225307491613865,18.65278310056461,2,1505,1719,5643,1179,3224,2419,536,13792,13231,7035,1198,18498,2966,10708,6658,3760,0.5895918747670518,0.35743570629891913,0.012905329854640327,0.007407752515840476,0.015095042862467387,0.0024692508386134925,0.0013976891539321653,0.013697353708535222,0.5182631382780469,0.4817368617219529,0.07403093551994036,0.07957510249720462,0.07636041744316065,0.07165486395825567,0.06317554975773387,0.1340849795005591,0.11754565784569512,0.12304323518449495,0.06960491986582185,0.05273947074170705,0.08237048080506895,0.040067089079388746,0.015747297800969066,0.8965582006855426,0.10344179931445743,0.035428089413749475,0.051033319274567696,0.1251230141993533,0.10333192745676928,0.13833825390130747,0.1892309855194714,0.1508505553212428,0.1097989596513426,0.05595388724869956,0.04091100801349642,0.2115844228876705,0.2416701813580768,0.7933361450864614,0.1657528469000422,0.4532546042457472,0.3400815408407142,0.02497204621692136,0.6425642937010809,0.6164275065225494,0.3277581065970928,0.05581438688035782,0.8618151323145732,0.13818486768542676,0.4988818486768543,0.31019381289601194,0.17517704062616474,Colusa
6,"Contra Costa County, California",18567.0,241.0,0.012980018312059027,410878,1133247,288101,502951,93683,2376,182135,5251,3829,54921,1133247,553701,579546,65505,73025,76328,72857,68013,143793,151683,164203,78858,69200,99537,48565,21680,39.4,717.082,0.075,1128003,1063814,840658,355628,64189,392277,13870,11757,21416,22514,34834,54684,48475,74344,43088,67295,93712,128079,45524,75187,59757,1.2980018312059027,1.6383895126128725,36.25670308414671,1580.3590105455164,1,47043,57348,207550,117432,104391,103159,66377,630296,651204,411798,70245,963465,169782,499521,394744,217302,0.2542261307552546,0.4438141023095583,0.08266776792702739,0.002096630302131839,0.16071959599275354,0.004633588264517797,0.003378786795817681,0.04846339765293885,0.4885969254716757,0.5114030745283243,0.0578029326351625,0.06443873224460334,0.0673533660358245,0.06429048565758391,0.060016042398523886,0.1268858421862136,0.1338481372551615,0.14489603766875184,0.06958588904272414,0.06106347512942896,0.0878334555485256,0.04285473511070402,0.0191308690867922,0.9430950094990882,0.05690499050091179,0.03535766817835356,0.02997116833258132,0.05459407510509155,0.0573931176184176,0.08879949627431638,0.1394014943522052,0.12357339329096532,0.1895191408112125,0.10984075028614984,0.17154969575070678,0.11992291161602645,0.14619261389273394,0.5290904131519311,0.29935989109736233,0.2661155255087604,0.2629748876431705,0.05857240301540618,0.5561858976904417,0.5746355384130732,0.36337885738943054,0.06198560419749623,0.8501809402539782,0.14981905974602186,0.44078740115791176,0.34833006396663746,0.1917516657886586,Contra Costa
7,"Del Norte County, California",171.0,1.0,0.005847953216374269,13822,27424,5340,17172,758,1841,937,17,128,1231,27424,14575,12849,1584,1547,1849,1533,1474,4081,3448,3370,2151,1802,2808,1166,611,38.6,1006.2280000000001,0.158,24362,22829,13021,13596,1533,9799,879,829,1290,1115,1003,2012,1140,934,281,316,45258,61652,22832,45356,40332,0.5847953216374269,0.6235414235705952,50.401108518086346,27.254260465818877,1,2998,2118,8268,1215,5116,3152,3217,10252,15516,10131,1777,22839,4585,12068,8969,5776,0.19471995332555425,0.6261668611435239,0.027640023337222867,0.06713098016336055,0.0341671528588098,0.0006198949824970829,0.004667444574095682,0.04488768961493583,0.5314687864644108,0.4685312135355893,0.057759626604434074,0.056410443407234535,0.06742269544924154,0.05589994165694282,0.05374854142357058,0.14881126021003502,0.12572928821470244,0.12288506417736288,0.07843494749124855,0.06570886814469078,0.10239206534422404,0.04251750291715286,0.022279754959159855,0.9370741318446758,0.06292586815532386,0.08970303092152261,0.0846004694356567,0.13164608633534033,0.11378712113480967,0.10235738340647003,0.205327074191244,0.11633840187774262,0.0953158485559751,0.02867639555056638,0.03224818859067252,0.30594958669251965,0.21614450454127973,0.843759567302786,0.12399224410654147,0.5220940912337994,0.32166547606898666,0.11730600933488915,0.3738331388564761,0.5657817969661609,0.3694209451575263,0.06479725787631271,0.8328106767794633,0.16718932322053676,0.44005250875145857,0.3270492998833139,0.21061843640606767,Del Norte
8,"El Dorado County, California",1317.0,4.0,0.0030372057706909645,50633,186661,23631,145990,1432,939,8237,396,184,5852,186661,93040,93621,8672,10025,11954,11579,9715,18743,20562,26817,16226,15617,22676,10245,3830,45.8,1707.842,0.059000000000000004,185338,175682,139840,67750,9656,69172,2593,2436,5100,4889,6834,10639,8942,12881,6287,8571,80582,104895,40382,72312,53876,0.30372057706909644,0.7055571329843942,27.125644885648324,109.29641032367162,1,10129,11723,41433,19168,21852,19581,7371,40671,91250,81336,14075,149910,36751,70688,63605,48538,0.12659848602546864,0.7821130284312202,0.007671661461151499,0.0050305098547634465,0.04412812531809002,0.0021214929738938505,0.000985744210092092,0.031350951725320236,0.4984437027552622,0.5015562972447378,0.046458553206079466,0.053706987533550125,0.0640412298230482,0.0620322402644366,0.052046222831764535,0.10041197679215262,0.11015691547779127,0.1436668613154328,0.08692763887475155,0.08366503983156631,0.12148225928287107,0.05488559474126893,0.020518480025286483,0.9479005924311258,0.05209940756887416,0.037486266119239,0.03521656161452611,0.0737292546116926,0.0706788874110912,0.09879720117966807,0.15380500780662695,0.12927195975250105,0.18621696640259064,0.09088937720464928,0.12390851789741515,0.1464320823454577,0.16947608859075927,0.598985138495345,0.2771063436072399,0.315908170936217,0.283076967559128,0.039488698764069616,0.21788697156877976,0.4888541259288228,0.43574179930462176,0.07540407476655543,0.8031136659505735,0.1968863340494265,0.3786972104510316,0.3407514156679756,0.2600328938557063,El Dorado
9,"Fresno County, California",30752.0,436.0,0.014177939646201876,353760,978130,515907,291455,44474,4458,97991,1104,1864,20877,978130,487936,490194,78636,78627,78151,71970,74241,148512,120605,111792,53835,47323,66238,32360,15840,32.0,5958.099,0.096,966908,874873,500245,471275,92035,304624,21380,19989,35375,33605,38742,53091,35192,38001,15704,13545,51261,71663,23284,43618,39089,1.4177939646201876,3.1439583695418807,36.16697167043236,164.1681348362959,3,76744,72347,237374,53705,149091,88283,28303,686675,650742,279188,48200,863692,114438,530137,286232,145921,0.5274421600400765,0.29797163976158586,0.045468393771789024,0.004557676382484946,0.10018197990042224,0.0011286843262143073,0.001905677159477779,0.02134378865794936,0.4988457566990073,0.5011542433009927,0.0803942216269821,0.08038502039606188,0.07989837751628108,0.07357917659206854,0.07590095386093873,0.15183257849161155,0.12330160612597507,0.1142915563370922,0.055038696287814506,0.04838109453753591,0.06771901485487614,0.03308353695316574,0.016194166419596576,0.9048151427023048,0.09518485729769534,0.07018488365985609,0.06561859866589632,0.11612676611166553,0.11031632438678501,0.12717973633068966,0.17428370712747518,0.11552602552655075,0.12474722937129053,0.05155207731498503,0.044464651504805934,0.251930248437418,0.23749606071747464,0.7792360418089186,0.17629930668627555,0.4894263091548926,0.28980973265402593,0.02893582652612638,0.7020283602384141,0.665291934609919,0.28543036201731875,0.04927770337276231,0.8830032817723615,0.11699671822763845,0.5419903284839439,0.29263185875088177,0.1491836463455778,Fresno
10,"Glenn County, California",650.0,3.0,0.004615384615384616,8311,27897,11504,14507,223,414,820,17,0,412,27897,14171,13726,2051,1760,2347,2031,1784,3447,3385,3382,1652,1758,2445,1363,492,36.6,1313.9679999999996,0.10099999999999999,27593,24949,14843,13665,2644,10017,857,863,1233,802,1493,2016,1070,1161,334,188,47395,60614,21736,39370,30973,0.4615384615384616,2.3299996415385174,29.79173387819479,21.23111065109653,2,2953,2295,8334,1495,5248,3086,843,13390,16805,9237,1855,23597,4300,13420,8419,5566,0.4123740904039861,0.5200200738430656,0.00799369107789368,0.014840305409183784,0.029393841631716683,0.0006093845216331506,0.0,0.01476861311252106,0.5079757680037279,0.492024231996272,0.07352045022762305,0.06308922106319675,0.08413091013370612,0.0728035272609958,0.06394952862314944,0.12356167329820412,0.12133921210165967,0.1212316736566656,0.05921783704340969,0.06301752876653402,0.08764383267017957,0.04885830017564613,0.017636304979030005,0.90417859602073,0.09582140397927012,0.08555455725267046,0.08615353898372766,0.12309074573225515,0.0800638913846461,0.14904662074473396,0.20125786163522014,0.10681840870520116,0.11590296495956873,0.03334331636218429,0.01876809423979235,0.2947988419686533,0.22911051212938005,0.8319856244384546,0.14924628132175302,0.5239093540980333,0.3080762703404213,0.030218303043337995,0.4799799261569344,0.602394522708535,0.3311108721367889,0.06649460515467613,0.8458615621751443,0.15413843782485573,0.4810553106068753,0.30178872280173497,0.19951966161235976,Glenn
11,"Humboldt County, California",553.0,9.0,0.0162748643761302,42400,135768,15360,101305,1342,5919,4049,369,258,7166,135768,67666,68102,7364,7787,6803,9105,12763,18345,17028,15030,9122,9774,14208,5791,2648,38.0,3568.1740000000004,0.08800000000000001,134810,121755,75848,65631,13055,54267,3804,4175,6889,6159,8242,9925,5712,5664,1888,1809,45528,63753,26747,42593,36973,1.62748643761302,0.4073124742207295,31.229744858876906,38.049713943322274,1,14868,14401,44906,7552,29269,15637,13712,34463,79195,48134,8439,113121,22647,62167,41180,29773,0.11313417005479935,0.7461625714454069,0.00988450886806906,0.043596429202757636,0.029822933239054862,0.002717871663425844,0.0019003005126392077,0.05278121501384715,0.4983943197218785,0.5016056802781215,0.0542395851747098,0.05735519415473455,0.050107536385598964,0.06706293088209299,0.09400595132873726,0.13512020505568326,0.12541983383418773,0.11070355312002828,0.06718814448176301,0.07199045430440162,0.1046491073006894,0.04265364445230098,0.019503859525072186,0.9031600029671388,0.09683999703286106,0.07009784952180884,0.07693441686476127,0.12694639467816538,0.11349438885510532,0.15187867396391913,0.1828919969779056,0.10525733871413566,0.10437282326275638,0.034790941087585465,0.03333517607385704,0.27397866106473545,0.26537306281902445,0.8275010595758011,0.13916376435034186,0.53935172388376,0.2881493356920412,0.10099581639266984,0.2538374285545931,0.5833112368157445,0.35453125920688233,0.062157503977373164,0.8331933887219374,0.16680661127806254,0.4578914029815568,0.303311531435979,0.21929320605739205,Humboldt
12,"Imperial County, California",12469.0,336.0,0.02694682813377176,93652,180216,151019,19773,3906,1076,2376,307,120,1639,180216,92250,87966,15092,13588,14616,13576,14006,26210,21833,20565,9536,8748,12428,6979,3039,32.4,4176.58,0.08900000000000001,170734,154851,78870,88182,15883,44057,3622,4272,5700,4444,5498,7086,5127,5278,1709,1321,45834,63186,17590,45736,34311,2.694682813377176,6.918919518799663,51.966529054024065,43.149179472199755,3,13594,9942,35749,6987,23536,12213,3142,160443,118921,51277,10018,157770,22446,97088,51934,28155,0.8379888578150664,0.10971833799440672,0.021673991210547344,0.005970613042127225,0.01318417898521774,0.0017035113419452213,0.0006658676255160474,0.009094641985173348,0.5118857371154615,0.4881142628845386,0.08374395170240156,0.07539841079593376,0.08110267678785457,0.07533182403338216,0.07771784969148134,0.14543658720646335,0.12114906556576553,0.11411306432281262,0.05291428064100857,0.048541749900119856,0.06896169041594531,0.03872575132063746,0.016863097616193902,0.906972249229796,0.09302775077020396,0.08221168032321766,0.09696529495880336,0.1293778514197517,0.10086932837006607,0.12479288194838505,0.16083709739655447,0.11637197267176612,0.11979935084095605,0.038790657557255366,0.029983884513244206,0.3085548267017727,0.2256622103184511,0.8114261070885443,0.1585900083982114,0.5342170370202238,0.2772090700683206,0.01743463399476184,0.8902816620055933,0.6598803657832822,0.28453078527988634,0.055588848936831366,0.8754494606472233,0.12455053935277667,0.5387313002175168,0.2881764105295867,0.15622919163670262,Imperial
13,"Inyo County, California",226.0,15.0,0.06637168141592921,5314,18085,3927,11389,160,1944,289,35,28,313,18085,9084,9001,1011,1108,888,1055,779,2047,2018,2120,1404,1507,2321,1247,580,45.7,10180.938,0.09,17681,16556,12290,7352,1125,8083,240,574,794,1064,1184,1667,910,1085,300,265,52874,68448,31540,59444,41925,6.637168141592921,1.2496544097318218,29.383466961570363,1.776358917027095,1,1608,2248,6433,1385,3856,2577,2320,6696,8906,7352,1827,13937,4148,6888,5542,5075,0.2171412773016312,0.6297484102847664,0.008847110865358032,0.10749239701410007,0.015980094000552943,0.0019353055017970688,0.0015482444014376555,0.01730716063035665,0.5022947193807022,0.4977052806192978,0.055902681780481064,0.061266242742604365,0.04910146530273708,0.058335637268454525,0.04307437102571192,0.11318772463367432,0.11158418578932816,0.11722421896599393,0.07763339784351672,0.08332872546309096,0.12833840199059995,0.06895217030688416,0.032070776886922864,0.9363723771279904,0.0636276228720095,0.029691946059631324,0.07101323765928493,0.09823085488061364,0.13163429419769887,0.14648026722751453,0.20623530867252252,0.11258196214276878,0.1342323394779166,0.03711493257453916,0.03278485710750958,0.19893603859952988,0.2781145614252134,0.7958678708400346,0.17134727205245578,0.4770506000247433,0.3188172708152914,0.12828310754769146,0.3702515897152336,0.4924523085429914,0.4065247442632016,0.10102294719380704,0.770638650815593,0.2293613491844069,0.3808681227536633,0.3064418025988388,0.28061929776057504,Inyo
14,"Kern County, California",33105.0,416.0,0.012566077631777677,281693,883053,465842,307030,45053,4202,40273,1153,1039,18461,883053,452646,430407,71173,72357,72906,65963,68554,135500,110974,102382,49204,42035,55461,26402,10142,31.5,8132.26,0.099,854578,777362,444554,401660,77216,267913,17667,15647,30030,28629,36738,47612,30489,35313,14736,11052,52479,71440,22553,45106,35973,1.2566077631777677,3.7489256024270334,31.89989728815824,108.58642001116543,3,63344,65367,206812,50049,128711,78101,24855,576023,597427,249082,36544,791048,92005,486453,262560,123898,0.5275357198265562,0.3476914749171341,0.05101958772576504,0.004758491279685364,0.04560654909727955,0.00130569739302171,0.0011765998190369097,0.020905879941521058,0.5125921094203859,0.4874078905796141,0.08059878625631757,0.08193958912998428,0.08256129586785843,0.07469880063824029,0.07763293935924571,0.15344492346439,0.12567082609990568,0.11594094578694596,0.0557203248276151,0.04760189931974638,0.06280596974360543,0.029898545160935982,0.011485154345209178,0.909644292270571,0.09035570772942902,0.06594304867624938,0.05840328763441864,0.11208862578523623,0.10685931627058036,0.13712660453206826,0.17771440728893334,0.11380186851701858,0.13180771369810348,0.0550029300556524,0.0412521975417393,0.23643496209590426,0.2439859208026486,0.7719371587045049,0.1868106437537559,0.4804208828985529,0.2915162758059519,0.02814666843326505,0.652308525082866,0.676547160815942,0.2820691396779129,0.04138369950614516,0.8958103307502494,0.10418966924975058,0.5508763347160363,0.29733209671446675,0.14030641422428775,Kern
