,county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84,county
0,"Anderson County, Texas",2941.0,39.0,0.013260795647738865,30052,57863,10142,34312,12127,158,319,9,15,781,57863,35412,22451,2991,2985,3276,3040,3562,8821,9905,8259,3227,3598,4859,2481,859,39.1,1062.63,0.373,44353,38116,27169,16504,6237,16459,969,1221,2263,2150,2671,3246,1845,1432,422,240,43355,55852,16868,36865,26890,1.3260795647738866,5.082695332077495,51.9364706288993,54.45263167800645,3,4453,4821,14365,1854,9274,5091,963,23551,34580,19943,3340,49664,8199,24675,21391,10938,0.1752760831619515,0.5929868828093946,0.2095812522682889,0.002730587767658089,0.005513022138499559,0.00015553980955014432,0.00025923301591690716,0.0134973990287403,0.6119973039766344,0.3880026960233655,0.05169106337383129,0.05158737016746453,0.056616490676252525,0.05253789122582652,0.06155920017973489,0.15244629556020256,0.17118020151046434,0.1427336985638491,0.0557696628242573,0.062181359417935476,0.0839742149560168,0.04287714083265645,0.014845410711508219,0.8593781705859806,0.14062182941401935,0.0588735646151042,0.07418433683698887,0.1374931648338295,0.13062762014703205,0.16228203414545234,0.1972173279057051,0.11209672519594142,0.08700407072118597,0.02563946776839419,0.014581687830366362,0.27055106628592257,0.29290965429248433,0.8727747736800535,0.11264353848958016,0.5634607205784069,0.3093140531016465,0.01664275962186544,0.4070131171906054,0.5976185126937766,0.34465893576205864,0.05772255154416466,0.8583032334998185,0.14169676650018145,0.4264383111833123,0.3696835628985707,0.18903271520660872,Anderson County
1,"Andrews County, Texas",584.0,10.0,0.017123287671232876,2127,17818,9979,7215,321,0,63,21,0,219,17818,9102,8716,1551,1634,1449,1461,1113,2680,2193,2134,899,861,1043,563,237,31.2,1500.721,0.313,17725,14496,11313,4332,3229,5508,302,171,291,525,686,841,728,1214,398,352,74233,94962,31190,72970,35194,1.7123287671232876,3.277584465147604,11.93736670782355,11.872959730689447,3,764,1211,3544,1612,1975,1569,240,10603,12081,4937,800,15975,1843,9888,5226,2467,0.5600516331799305,0.4049276013020541,0.018015489953979117,0.0,0.0035357503647996404,0.0011785834549332135,0.0,0.012290941744303513,0.5108317431810528,0.4891682568189472,0.08704680660006735,0.09170501739813673,0.08132225839039174,0.08199573465035358,0.062464923111460326,0.15040969805814344,0.1230777865080256,0.11976652822987988,0.05045459647547424,0.04832192165226176,0.05853631159501627,0.031597261196542825,0.013301156134246268,0.8178279266572638,0.18217207334273625,0.054829339143064634,0.031045751633986932,0.0528322440087146,0.09531590413943357,0.12454611474219315,0.1526870007262164,0.13217138707334786,0.2204066811909949,0.07225853304284678,0.06390704429920116,0.13870733478576616,0.21986201888162674,0.6434277414669571,0.2926652142338417,0.3585693536673929,0.2848583877995643,0.013469525199236727,0.5950723986979459,0.6780222247165787,0.27707935795263217,0.04489841733078909,0.8965652710741946,0.10343472892580537,0.5549444382085531,0.2932989112133797,0.13845549444382085,Andrews County
2,"Angelina County, Texas",2277.0,90.0,0.03952569169960474,21193,87607,19174,53216,12834,107,987,5,163,1121,87607,42659,44948,6011,6477,6320,6025,5531,11212,10568,11220,5567,5049,7768,3918,1941,37.2,797.7819999999997,0.396,85457,69027,46576,31836,16430,30783,2572,1674,4093,3682,4071,5797,4013,3257,985,639,47714,61152,22322,41488,32622,3.9525691699604737,2.5991073772643736,24.190989304507628,109.81320711673115,2,8339,7753,25902,4242,16092,9810,1396,34391,52144,29604,5859,73980,13627,41576,27355,16735,0.2188637894232196,0.6074400447452829,0.1464951430821738,0.0012213635896674926,0.011266223018708551,5.707306493773329e-05,0.0018605819169701047,0.012795781159039805,0.4869359754357528,0.5130640245642472,0.06861323866814295,0.0739324483203397,0.07214035408129488,0.06877304324996861,0.06313422443412056,0.12798064081637311,0.12062963005239308,0.1280719577202735,0.06354515050167224,0.05763238097412308,0.08866871368726244,0.0447224536852078,0.022155763808828062,0.8077395649273904,0.1922604350726096,0.0835526102069324,0.05438066465256797,0.13296299905792158,0.1196114738654452,0.1322483188773024,0.1883182275931521,0.1303641620374882,0.10580515219439303,0.031998180814085696,0.020758210700711432,0.27089627391742194,0.2518597927427476,0.8414384562908098,0.13780333300847872,0.5227560666601696,0.3186823896306403,0.015934799730615134,0.3925599552547171,0.5952035796226329,0.33791820288333124,0.06687821749403587,0.8444530688187017,0.1555469311812983,0.4745739495702398,0.3122467382743388,0.1910235483465933,Angelina County
3,"Aransas County, Texas",346.0,18.0,0.05202312138728324,3639,24763,6756,16691,365,14,488,0,33,416,24763,12026,12737,1207,1244,1379,1351,1446,2010,2483,3240,1820,2002,3829,2119,633,49.6,252.049,0.377,24388,19385,13508,10606,5003,9432,836,526,1162,1141,1409,1443,896,1047,476,496,44865,75471,30939,43182,32005,5.202312138728324,1.3972458910471268,14.69531155352744,98.24676947736351,1,2524,2550,7413,1523,5074,2339,463,8072,11120,10891,2752,18182,6581,8637,7543,7950,0.2728263942171789,0.6740298025279651,0.014739732665670557,0.0005653596090942131,0.01970682065985543,0.0,0.0013326333642935024,0.016799256955942334,0.4856439042119291,0.5143560957880711,0.048742074869765374,0.05023623955094294,0.05568792149578,0.05455720227759157,0.058393571053588014,0.0811694867342406,0.1002705649557808,0.13084036667608934,0.0734967491822477,0.08084642410047248,0.15462585308726728,0.08557121511933126,0.02556233089690264,0.7948581269476792,0.2051418730523208,0.08863443596268024,0.05576759966072943,0.12319762510602204,0.12097116200169634,0.14938507209499574,0.15298982188295165,0.09499575911789652,0.11100508905852416,0.050466497031382535,0.05258693808312129,0.2675996607294317,0.2703562340966921,0.7859414758269719,0.1614715860899067,0.5379558948261238,0.24798558100084814,0.01869724992933005,0.3259701974720349,0.4490570609376893,0.4398093930460768,0.1111335460162339,0.7342406008964988,0.2657593991035012,0.3487864959819085,0.3046076808141178,0.3210434923070711,Aransas County
4,"Archer County, Texas",137.0,1.0,0.007299270072992701,1082,8789,727,7772,76,27,47,0,0,140,8789,4326,4463,430,448,638,563,529,881,976,1282,656,692,908,589,197,44.5,903.289,0.28300000000000003,8723,7727,6429,2718,996,3332,125,199,289,393,345,550,462,626,198,145,64476,80073,31806,49105,37377,0.7299270072992702,1.5587666401183298,12.310843099328705,9.72999781908116,1,613,738,2363,824,1351,1012,167,1017,4465,3538,786,7095,1694,3489,2914,2189,0.08271703265445443,0.8842871771532598,0.008647172602116282,0.003072021845488679,0.0053475935828877,0.0,0.0,0.01592900216179315,0.4922061667994084,0.5077938332005917,0.04892479235407896,0.05097280691773808,0.07259073842302878,0.06405734440778245,0.06018887245420412,0.1002389350324269,0.11104790078507223,0.1458641483672773,0.0746387529866879,0.07873478211400614,0.10331095687791557,0.06701558766640119,0.02241438161338036,0.885819098933853,0.11418090106614695,0.037515006002400965,0.05972388955582233,0.08673469387755102,0.11794717887154862,0.10354141656662663,0.16506602641056425,0.13865546218487396,0.187875150060024,0.05942376950780313,0.04351740696278512,0.1839735894357743,0.22148859543817528,0.7091836734693877,0.2472989195678271,0.4054621848739496,0.3037214885954382,0.01900102400728183,0.11571282284674025,0.5080213903743316,0.4025486403458869,0.08942996927978154,0.8072590738423029,0.1927409261576971,0.3969734895892593,0.3315508021390374,0.2490613266583229,Archer County
5,"Armstrong County, Texas",24.0,1.0,0.04166666666666666,324,1916,131,1737,7,29,0,0,0,12,1916,960,956,121,94,106,100,82,197,206,271,209,130,232,111,57,46.3,909.109,0.23,1853,1712,1378,585,141,708,16,37,38,60,67,195,94,128,52,21,66563,79808,31075,55250,40625,4.166666666666666,1.2526096033402925,16.910229645093946,2.1075580595946137,1,91,127,507,180,218,289,41,179,906,842,168,1516,400,700,686,473,0.06837160751565761,0.9065762004175364,0.0036534446764091852,0.0151356993736952,0.0,0.0,0.0,0.006263048016701462,0.5010438413361169,0.4989561586638831,0.06315240083507306,0.049060542797494784,0.05532359081419624,0.05219206680584551,0.04279749478079332,0.10281837160751564,0.10751565762004177,0.14144050104384134,0.10908141962421712,0.06784968684759916,0.1210855949895616,0.057933194154488526,0.029749478079331943,0.923907177549919,0.07609282245008095,0.02259887005649717,0.05225988700564972,0.05367231638418079,0.0847457627118644,0.09463276836158192,0.2754237288135593,0.1327683615819209,0.1807909604519774,0.07344632768361582,0.029661016949152543,0.1285310734463277,0.17937853107344634,0.7161016949152542,0.2542372881355932,0.307909604519774,0.4081920903954802,0.02139874739039666,0.09342379958246347,0.4728601252609603,0.4394572025052192,0.08768267223382048,0.7912317327766178,0.20876826722338204,0.3653444676409186,0.35803757828810023,0.2468684759916493,Armstrong County
6,"Atascosa County, Texas",1270.0,35.0,0.02755905511811024,13095,48828,31200,16541,124,29,152,0,12,770,48828,24398,24430,3584,3628,4029,3633,3038,6308,6070,5901,2874,2842,4094,2090,737,35.4,1219.5410000000004,0.4,48397,40732,30168,15883,7665,15387,1014,484,1771,1676,1941,3068,1887,2088,836,622,55265,73390,24421,46273,29942,2.755905511811024,2.6009666584746456,26.81862865568936,40.03801430210217,2,3269,3617,11841,2924,6886,4955,811,32287,30290,15711,2827,41907,6921,24220,14845,9026,0.6389776357827476,0.3387605472270009,0.002539526501187843,0.0005939215204390923,0.0031129679691980013,0.0,0.0002457606291472106,0.015769640370279347,0.4996723191611371,0.5003276808388629,0.07340050790530024,0.07430163021217334,0.08251413123617596,0.07440403047431801,0.06221839927910215,0.12918817072171704,0.12431391824363072,0.12085278938314085,0.05885967068075694,0.05820430900303105,0.08384533464405669,0.04280330957647251,0.015093798640124518,0.8416224146124759,0.15837758538752406,0.06589978553324234,0.03145512445570937,0.11509715994020925,0.10892311691687788,0.12614544745564438,0.19938909469032298,0.1226359914213297,0.13569896666016767,0.054331578605316184,0.04042373432118022,0.212452069929161,0.2350685643725223,0.7695457204133359,0.19003054526548385,0.4475206343016833,0.3220250861116527,0.01660932251986565,0.6612394527729991,0.6203407880724174,0.3217621037109855,0.057897108216597035,0.8582575571393463,0.1417424428606537,0.4960268698287867,0.3040263783075285,0.18485295322356024,Atascosa County
7,"Austin County, Texas",513.0,9.0,0.017543859649122806,7224,29565,7819,18525,2576,48,89,0,52,456,29565,14684,14881,1780,1960,2118,1861,1712,3339,3275,3821,2327,1978,3243,1532,619,40.7,646.492,0.32,29298,25749,20393,8863,3549,11041,482,459,1255,927,1186,1851,1651,2150,551,529,65365,80769,30858,55417,38603,1.7543859649122806,1.7351598173515983,24.43429731100964,45.7314243641066,1,2196,2113,7811,2701,4309,3502,556,11040,16045,11369,2151,24171,5394,12770,9423,6753,0.26446812108912565,0.6265854895991883,0.08713005242685608,0.0016235413495687466,0.0030103162523253853,0.0,0.0017588364620328089,0.015423642820903097,0.4966683578555725,0.5033316421444275,0.060206325046507685,0.06629460510739049,0.07163876204972096,0.06294605107390495,0.05790630813461864,0.11293759512937596,0.11077287332995096,0.12924065618129546,0.0787079316759682,0.06690343311347878,0.10969051243023846,0.05181802807373584,0.02093691865381363,0.8788654515666598,0.12113454843334015,0.04365546599039942,0.04157232134770402,0.11366724028620595,0.08395978625124535,0.10741780635811972,0.16764785798387827,0.14953355674304866,0.19472873833891854,0.04990489991848565,0.047912326781994384,0.19889502762430936,0.1913775926093651,0.7074540349606014,0.24463363825740425,0.3902726202336745,0.3171814147269269,0.018806020632504653,0.37341451040081175,0.5427025198714697,0.3845425334009809,0.07275494672754948,0.8175545408422121,0.18244545915778795,0.43192964654151866,0.3187214611872146,0.2284119736174531,Austin County
8,"Bailey County, Texas",280.0,5.0,0.017857142857142856,1411,7092,4558,2346,46,72,70,0,0,0,7092,3640,3452,491,655,408,550,581,940,926,715,366,460,494,416,90,33.5,826.972,0.263,6895,5474,3638,2624,1421,2111,119,109,174,393,381,322,251,201,110,51,46485,62434,21449,40411,28184,1.7857142857142856,3.948110547095319,19.895657078398195,8.575864720933719,3,402,774,1749,311,1176,573,72,4746,4551,2035,506,6092,1000,3625,2007,1370,0.6426959954878737,0.33079526226734346,0.006486181613085167,0.01015228426395939,0.009870276367738295,0.0,0.0,0.0,0.5132543711223915,0.4867456288776086,0.06923293852227863,0.09235758601240834,0.05752961082910321,0.0775521714608009,0.08192329385222788,0.13254371122391426,0.1305696559503666,0.10081782289904118,0.051607445008460234,0.06486181613085168,0.06965595036661026,0.05865764241398759,0.012690355329949237,0.7939086294416243,0.20609137055837565,0.056371387967787775,0.05163429654192326,0.08242539081004263,0.1861676930364756,0.18048318332543814,0.15253434391283752,0.11890099478919945,0.09521553765987684,0.05210800568450971,0.024159166271909047,0.19043107531975367,0.3666508763619138,0.8285172903837044,0.14732354334438655,0.5570819516816674,0.2714353387020369,0.01015228426395939,0.6692047377326565,0.6417089678510999,0.2869430344049633,0.07134799774393683,0.8589960518894529,0.1410039481105471,0.5111393119007333,0.28299492385786795,0.19317540891144952,Bailey County
9,"Bandera County, Texas",185.0,8.0,0.04324324324324325,3056,21763,4010,17032,172,88,59,0,17,385,21763,11032,10731,864,880,1252,1033,1056,1924,2087,2925,1873,2236,3472,1713,448,52.1,790.995,0.29100000000000004,21584,17769,13852,8464,3815,8242,436,453,810,670,1382,1670,1022,1073,337,389,53683,70305,28539,47575,37390,4.3243243243243255,0.8500666268437256,14.042181684510407,27.51344825188529,1,1699,2052,6443,1410,3751,2692,490,4731,9096,10506,2161,16130,5633,7009,6885,7421,0.18425768506180212,0.782612691264991,0.0079033221522768,0.004043560170932316,0.0027110232964205304,0.0,0.0007811423057482884,0.017690575747828882,0.5069154068832422,0.4930845931167578,0.039700408950971836,0.04043560170932317,0.05752883334099159,0.04746588246105776,0.048522722051187794,0.08840692919174746,0.09589670541745164,0.13440242613610254,0.0860635022745026,0.1027431879795984,0.15953682856223864,0.0787115746909893,0.020585397233837247,0.8232487027427724,0.17675129725722755,0.05289978160640621,0.05496238776995875,0.098277117204562,0.08129094879883524,0.1676777481193885,0.20262072312545495,0.1239990293618054,0.13018684785246298,0.040888133948070865,0.04719728221305508,0.20613928658092692,0.2489686969182237,0.7817277359864111,0.17107498180053385,0.4551079834991507,0.3266197524872604,0.022515278224509487,0.21738730873500894,0.4179570831227312,0.4827459449524422,0.09929697192482656,0.7411661995129348,0.2588338004870652,0.3220603777052796,0.3163626338280568,0.34099159123282635,Bandera County
